"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",202.76,182.475,228.05
2,75,60,67.5,"N",197.14,171,218.05
3,60,45,52.5,"N",196,170.95,221.625
4,45,30,37.5,"N",220.43,198,243.625
5,30,15,22.5,"N",185.13,160.475,210.575
6,15,0,7.5,"N",136.51,117,155.525
7,0,-15,-7.5,"S",112.57,93.475,130.525
8,-15,-30,-22.5,"S",101.16,86.475,121.525
9,-30,-45,-37.5,"S",110.23,94,132.675
10,-45,-60,-52.5,"S",129.89,112.475,152.575
11,-60,-75,-67.5,"S",168.58,145.425,192
12,-75,-90,-82.5,"S",97.79,78.425,118.525
