"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",270.22,242.95,297.05
2,75,60,67.5,"N",184.96,161.95,209.1
3,60,45,52.5,"N",173.32,153,195.525
4,45,30,37.5,"N",241.46,219.95,270.625
5,30,15,22.5,"N",182.79,163.475,204.05
6,15,0,7.5,"N",79.08,62.95,93
7,0,-15,-7.5,"S",57.2,43.475,73
8,-15,-30,-22.5,"S",69.76,57.475,85
9,-30,-45,-37.5,"S",67.24,54,83.625
10,-45,-60,-52.5,"S",31.24,22,44.525
11,-60,-75,-67.5,"S",39.73,29,53
12,-75,-90,-82.5,"S",141.36,117.475,159
