"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",303.37,275.475,332
2,75,60,67.5,"N",201.83,173,225.05
3,60,45,52.5,"N",183.76,161.95,204
4,45,30,37.5,"N",254.48,220.475,283
5,30,15,22.5,"N",164.92,141.475,183.525
6,15,0,7.5,"N",79.95,62.375,99
7,0,-15,-7.5,"S",63.95,48.475,80.1
8,-15,-30,-22.5,"S",78.04,63,95
9,-30,-45,-37.5,"S",71.85,57.475,86.525
10,-45,-60,-52.5,"S",35.78,25.475,46.525
11,-60,-75,-67.5,"S",38.58,26.425,51
12,-75,-90,-82.5,"S",87.37,73.95,103.525
