"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",222.44,194.375,247.525
2,75,60,67.5,"N",255.67,228.95,280.525
3,60,45,52.5,"N",231.84,203.85,259.525
4,45,30,37.5,"N",226.91,201.375,250.525
5,30,15,22.5,"N",208.23,184.475,230
6,15,0,7.5,"N",141.78,122.95,161.525
7,0,-15,-7.5,"S",76.85,62.95,89.525
8,-15,-30,-22.5,"S",77.12,58,95.525
9,-30,-45,-37.5,"S",103.24,82,127.525
10,-45,-60,-52.5,"S",127.73,108.95,146
11,-60,-75,-67.5,"S",139.11,121,160.625
12,-75,-90,-82.5,"S",79.88,64,98.525
