"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.02,0,0
2,75,60,67.5,"N",0.06,0,1
3,60,45,52.5,"N",5.9217,2,10.393
4,45,30,37.5,"N",9.8081,4.475,16.0165
5,30,15,22.5,"N",31.0919,27.22475,34.255
6,15,0,7.5,"N",36.8546,34.45075,39.17575
7,0,-15,-7.5,"S",13.361,7.47025,19.09525
8,-15,-30,-22.5,"S",11.8508,6,19.28125
9,-30,-45,-37.5,"S",7.51500000000001,2.475,11.9015
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.01,0,0
