"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",0.13,0,1
3,60,45,52.5,"N",2.41993,0,5.52447499999999
4,45,30,37.5,"N",18.56599,12.153175,23.679775
5,30,15,22.5,"N",19.63169,13.900225,25.81995
6,15,0,7.5,"N",16.34514,11.268275,21.5689
7,0,-15,-7.5,"S",17.87906,10.880475,23.195725
8,-15,-30,-22.5,"S",19.37562,14.526625,24.219775
9,-30,-45,-37.5,"S",4.3377,1,8.977625
10,-45,-60,-52.5,"S",0.47,0,2
11,-60,-75,-67.5,"S",0.04,0,1
12,-75,-90,-82.5,"S",0.03,0,0.524999999999991
