"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"113508",161254,"col","Laiyang",120.67,36.78,"Nanligezhuang, Laiyang City (NIGP collection)",NA,"",4,"Aptian","",125,113,52537,"gp_mid",133.21,35.92,"604",119,"aptian",19812,132.8128,40.2417,27
"113771",161584,"col","",33.73,30.9,"Rizan Aneiza hills, Sinai",NA,"",2,"Aptian","",125,113,52616,"gp_mid",40.39,5.77,"508",119,"aptian",30500,36.0941,3.3529,27
"114274",162209,"col","Anda-Khuduk",101.65,45.12,"Mt. Uskuk, Ondai Sair (Third Asiatic Expedition, Chaney coll)",NA,"Andai-Sayr ",1,"Aptian","",125,113,52848,"gp_mid",113.16,41.18,"401",119,"aptian",26977,112.1495,43.3498,27
"114322",162297,"col","Bejah",126.18,-25.73,"Be6 - Mount Charles [Bejah Beds]",NA,"",4,"Aptian","",125,113,52863,"gp_mid",98.01,-64.43,"801",119,"aptian",30671,108.3639,-64.0888,27
"114323",162298,"col","Kidson",126.18,-25.73,"Be7 - Mount Charles [Kidson Beds]",NA,"",2,"Aptian","",125,113,52863,"gp_mid",98.01,-64.43,"801",119,"aptian",30671,108.3639,-64.0888,27
"114326",162301,"col","",126.19,-25.75,"12D - Mount Charles",NA,"",10,"Aptian","",125,113,52863,"gp_mid",98,-64.46,"801",119,"aptian",30673,108.3639,-64.0888,27
"114327",162302,"col","Bejah",125.57,-25.32,"B4 - Lake Gruszka [Bejah Beds]",NA,"",7,"Aptian","",125,113,52863,"gp_mid",97.6,-63.77,"801",119,"aptian",30674,101.4937,-62.6461,27
"114329",162304,"col","Bejah",125.28,-25.55,"B5 - Mount Beadell [Bejah Beds]",NA,"",5,"Aptian","",125,113,52863,"gp_mid",96.81,-63.79,"801",119,"aptian",30676,101.4937,-62.6461,27
"114330",162305,"col","Bejah",125.93,-25.77,"B6 - Mount Samuel [Bejah Beds]",NA,"",5,"Aptian","",125,113,52863,"gp_mid",97.55,-64.33,"801",119,"aptian",30677,108.3639,-64.0888,27
"114331",162306,"col","",125.28,-25.54,"BR4 - Mount Beadell",NA,"",2,"Aptian","",125,113,52863,"gp_mid",96.82,-63.78,"801",119,"aptian",30678,101.4937,-62.6461,27
"114332",162307,"col","",125.28,-25.54,"Loc. 22 - Mount Beadell",NA,"",9,"Aptian","",125,113,52863,"gp_mid",96.82,-63.78,"801",119,"aptian",30678,101.4937,-62.6461,27
"114334",162309,"col","Bejah",123.06,-23.57,"Loc. 40 - Bejah Hill [Bejah Beds]",NA,"",3,"Aptian","",125,113,52863,"gp_mid",96.06,-60.99,"801",119,"aptian",30680,103.8195,-60.405,27
"114396",162499,"col","Cerro Barcino",-68.58,-43.84,"Leaellyn's Site #2, Cerro Barcino",NA,"",1,"Aptian","",125,113,10337,"gp_mid",-27.1,-40.28,"291",119,"aptian",4718,-35.4041,-41.0237,27
"115498",164557,"col","Schrattenkalk",10.18,47.37,"Brandalpe/ Kühberg",NA,"",0,"Aptian","",125,113,53623,"gp_mid",34.13,36.8,"305",119,"aptian",30894,33.0116,30.3869,27
"115519",164633,"col","Hühteeg",110.27,44.6,"Khamaryn Khural [HMNS-GIN]",NA,"Khamarin-Khural, KmK, HMNS-MPC",1,"Aptian","",125,113,42154,"gp_mid",121.27,42.21,"628",119,"aptian",30902,119.2408,44.8275,27
"115553",164688,"col","Laiyang",120.79,37.03,"Beipozi village (Beijing Natural History Museum collection)",NA,"",1,"Aptian","",125,113,53823,"gp_mid",133.24,36.2,"604",119,"aptian",29289,132.8128,40.2417,27
"115602",164772,"col","Laiyang",120.96,37.05,"Locality 218, 1 li north of Po-Tzu, Laiyang",NA,"",1,"Aptian","",125,113,53855,"gp_mid",133.41,36.24,"604",119,"aptian",24777,132.8128,40.2417,27
"115908",165327,"col","",-1.17,50.63,"Shanklin, Exogyra Beds (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"115920",165340,"col","Ferruginous Sands",-1.17,50.63,"Shanklin, Ferruginous Sands",NA,"",2,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"115922",165342,"col","Hythe",0.52,51.27,"Maidstone (BGS)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.54,41.27,"315",119,"aptian",10612,24.7415,41.2123,27
"115923",165344,"col","Ferruginous Sands",-1.17,50.63,"Shanklin, Ferruginous Sands (Group XIII)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"115924",165346,"col","Ferruginous Sands",-1.35,50.6,"Atherfield, Ferruginous Sands (Group X)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.88,40.74,"315",119,"aptian",30978,24.5379,38.7172,27
"115925",165347,"col","",-1.62,51.64,"Coxwell",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.83,41.79,"315",119,"aptian",30979,24.7415,41.2123,27
"115926",165348,"col","Sandgate",0.83,51.14,"Great Chart",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.77,41.11,"315",119,"aptian",30980,24.5379,38.7172,27
"115927",165349,"col","Sandgate",1,51.1,"Sellindge",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.91,41.06,"315",119,"aptian",30981,24.5379,38.7172,27
"115929",165351,"col","Bargate Beds",-0.51,51.21,"St. Martha",NA,"",2,"Aptian","",125,113,18892,"gp_mid",25.68,41.28,"315",119,"aptian",30983,24.5379,38.7172,27
"115930",165352,"col","",6.5,46.82,"Sainte-Croix (BMNH)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",30.97,36.45,"305",119,"aptian",30984,30.6129,36.0024,27
"115931",165353,"col","Hils Conglomerate",10.73,52.12,"Berklingen",NA,"",1,"Aptian","",125,113,18892,"gp_mid",35.04,41.51,"315",119,"aptian",30985,33.8158,40.9536,27
"115932",165354,"col","Bargate Beds",-0.63,51.21,"Compton, Bargate Beds (BGS)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.58,41.29,"315",119,"aptian",10610,24.5379,38.7172,27
"115933",165355,"col","",-1.58,51.65,"Faringdon (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.86,41.8,"315",119,"aptian",10611,24.7415,41.2123,27
"115934",165356,"col","Sandgate",1.08,51.07,"Hythe (Sandgate Beds)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.97,41.03,"315",119,"aptian",10613,24.5379,38.7172,27
"115935",165357,"col","Ferruginous Sands",-1.17,50.63,"Shanklin, Upper Ferruginous Sands (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"115936",165358,"col","",1.13,51.07,"Sandgate",NA,"",1,"Aptian","",125,113,18892,"gp_mid",27.01,41.02,"315",119,"aptian",30986,24.5379,38.7172,27
"115937",165359,"col","Hythe",0.3,51.29,"Borough Green",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.36,41.3,"315",119,"aptian",30987,24.7415,41.2123,27
"115938",165360,"col","Hythe",0.3,51.29,"Godstone (Hythe Fm.)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.36,41.3,"315",119,"aptian",30987,24.7415,41.2123,27
"115939",165361,"col","",-0.51,50.95,"Pulborough",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.63,41.02,"315",119,"aptian",30988,24.5379,38.7172,27
"116025",165464,"col","Maryborough",152.97,-25.3,"Woody Island and Hervey Bay Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",162.56,-70.63,"801",119,"aptian",30999,NA,NA,27
"116028",165467,"col","Maryborough",152.09,-24.86,"Bucca Crossing Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",160,-70.33,"801",119,"aptian",31000,NA,NA,27
"116029",165468,"col","Maryborough",144.2,-20.84,"Hughenden Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",140,-66.39,"801",119,"aptian",31001,140.7198,-61.8194,27
"116031",165470,"col","Roma",143.7,-16.53,"River Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",140.06,-62.06,"801",119,"aptian",31002,140.6846,-59.3194,27
"116064",165516,"col","Yixian",120.97,42.14,"Heichengzi, Beipiao",NA,"",1,"Aptian","",125,113,54101,"gp_mid",131.9,41.19,"604",119,"aptian",31011,131.0661,44.9718,27
