"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"86174",124831,"col","Tokelau",-178.966385,-17.21611,"Daliconi FLV1.3, Vanua Balevu",NA,"",12,"Langhian","",15.97,13.82,40384,"gp_mid",NA,NA,"coordinates not computable using this model",14.895
"86554",125335,"col","",12.069722,49.024166,"Dechbetten",NA,"",3,"Langhian","",15.97,13.82,40668,"gp_mid",13.98,46.16,"305",14.895
"87495",126602,"col","Calvert",-76.51889,38.653889,"Cheapeake Beach, south",NA,"",1,"Langhian","",15.97,13.82,41094,"gp_mid",-69.4,40.32,"109",14.895
"87707",126917,"col","Feistring",15.25,47.549999,"Jauring and Pletschgraben, Aflenz Basin",NA,"",13,"Langhian","",15.97,13.82,41209,"gp_mid",17.75,43.74,"307",14.895
"88153",127685,"col","Tsuchiyama",136.323334,34.942223,"Nishino",NA,"",1,"Langhian","",15.97,13.82,41697,"gp_mid",133.93,34.67,"610",14.895
"88173",127702,"col","",133.449997,34.74889,"Imobara",NA,"BIH-1",4,"Langhian","",15.97,13.82,41705,"gp_mid",131.08,34.35,"610",14.895
"88174",127703,"col","Jinseki",133.299164,34.772499,"Munekane",NA,"BIH-2",2,"Langhian","",15.97,13.82,41705,"gp_mid",130.93,34.37,"610",14.895
"88177",127705,"col","Yoshino",134.156662,35.075558,"Cliff of Mino",NA,"KTT-1",1,"Langhian","",15.97,13.82,41705,"gp_mid",131.76,34.71,"610",14.895
"88179",127706,"col","",134.192215,35.101112,"Cliff of Kaki",NA,"KTT-2",3,"Langhian","",15.97,13.82,41705,"gp_mid",131.8,34.74,"610",14.895
"88181",127707,"col","Yoshino",134.06694,35.051388,"Niida",NA,"KTT-3",5,"Langhian","",15.97,13.82,41705,"gp_mid",131.68,34.68,"610",14.895
"89940",130391,"col","Latah",-116.273003,46.741001,"Oviatt Creek Site (P-35)",NA,"",8,"Langhian","",15.97,13.82,40030,"gp_mid",-110.19,50.72,"127",14.895
"90862",131477,"col","Baitoa",-70.699997,19.35,"NMB Loc. 17287 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1732",8,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90880",131499,"col","Baitoa",-70.699997,19.35,"NMB Loc. 16942 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1696",7,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90881",131500,"col","Baitoa",-70.699997,19.35,"NMB Loc. 16938 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1692",11,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90882",131501,"col","Baitoa",-70.699997,19.35,"NMB Loc. 16935 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1689",10,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90883",131502,"col","Baitoa",-70.699997,19.35,"NMB Loc. 17265 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1710",8,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90885",131504,"col","Baitoa",-70.699997,19.35,"NMB Loc. 17288 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1733",11,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90886",131505,"col","Baitoa",-70.699997,19.35,"NMB Loc. 17289 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1734",9,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
