"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"46817",69857,"col","",34.68,30.46,"Southern slopes of Har Loz (coord. 1197/9863)",NA,"",1,"Coniacian","",89.8,86.3,23437,"gp_mid",38.17,12.17,"508",88.05,"coniacian",11459,31.7472,15.7354,23
"46818",69858,"col","",34.75,30.51,"South of Har Arod (coord. 1269/9907)",NA,"",1,"Coniacian","",89.8,86.3,23437,"gp_mid",38.25,12.19,"508",88.05,"coniacian",11460,31.7472,15.7354,23
"46819",69859,"col","",34.72,30.5,"SW of Har Arod (coord. 123/990)",NA,"",1,"Coniacian","",89.8,86.3,23437,"gp_mid",38.22,12.19,"508",88.05,"coniacian",11461,31.7472,15.7354,23
"46911",70001,"col","Arnager Limestone",14.78,55.05,"Arnager Limestone Formation, Arnager/Horsemyre Odde, Bornholm",NA,"",20,"Coniacian","",89.8,86.3,23526,"gp_mid",26.29,46.57,"302",88.05,"coniacian",11486,16.379,50.2984,23
"47031",70190,"col","",-54.05,71.63,"Tange II Kloft, Svartenhuk",NA,"",1,"Coniacian","",89.8,86.3,23575,"gp_mid",-1.8,62.52,"102",88.05,"coniacian",11499,-16.8938,63.0887,23
"47034",70193,"col","",-53.96,71.6,"Tange IV Kloft, Svartenhuk",NA,"",2,"Coniacian","",89.8,86.3,23598,"gp_mid",-1.78,62.48,"102",88.05,"coniacian",11501,-16.8938,63.0887,23
"47036",70195,"col","",-54.11,71.63,"Umivik, Svartenhuk Peninsula",NA,"",4,"Coniacian","",89.8,86.3,23575,"gp_mid",-1.83,62.53,"102",88.05,"coniacian",11502,-16.8938,63.0887,23
"47683",71002,"col","St Lucia",32.27,-28.03,"Locality 93, on the farm Ncedomhlope, ESE of Hluhluwe, St Lucia Fm, Zululand",NA,"",1,"Coniacian","",89.8,86.3,23790,"gp_mid",22.84,-44.52,"701",88.05,"coniacian",11654,24.7581,-41.2155,23
"48219",71823,"col","",5.83,35.32,"Les Tamarins, Aures",NA,"",1,"Coniacian","",89.8,86.3,24273,"gp_mid",15.42,23.23,"714",88.05,"coniacian",11790,9.7611,24.5723,23
"48222",71826,"col","",6.17,35.23,"Teniet ed Deb (Tizi bou Iriel), Aures",NA,"",2,"Coniacian","",89.8,86.3,24273,"gp_mid",15.67,23.06,"714",88.05,"coniacian",11793,9.7611,24.5723,23
"48223",71827,"col","",6.17,34.9,"El Khenag-Ouleche, Aures",NA,"",1,"Coniacian","",89.8,86.3,24273,"gp_mid",15.55,22.74,"714",88.05,"coniacian",11794,9.7611,24.5723,23
"48361",72037,"col","Redding",-122.02,40.68,"Area 11: East of Redding, Shasta County, Member IV",NA,"CIT loc. 1007; LACMIP loc. 10816",8,"Coniacian","",89.8,86.3,24379,"gp_mid",-82.54,50.85,"101",88.05,"coniacian",11845,-89.9909,41.5616,23
"48565",72287,"col","",-1.05,49,"Asteroidea, Couches a Micraster cortestudinarium, Aulnay-sur-Iton, Eure",NA,"",13,"Coniacian","",89.8,86.3,17476,"gp_mid",12.14,41.34,"305",88.05,"coniacian",11913,3.8453,44.3012,23
"49760",74611,"col","",19.6,42.5,"Selce, rudist biostrome",NA,"Reef 1189",24,"Coniacian","",89.8,86.3,25073,"gp_mid",27.45,27.29,"307",88.05,"coniacian",12158,23.1479,28.2311,23
"49902",74908,"col","Arnager Limestone",14.78,55.05,"Arnager, Bornholm, sponge-rich mounds",NA,"Reef 1273",22,"Coniacian","",89.8,86.3,25260,"gp_mid",26.29,46.57,"302",88.05,"coniacian",11486,16.379,50.2984,23
"51470",78101,"col","Austin Chalk",-97.81,30.13,"Onion Creek, Travis",NA,"",1,"Coniacian","",89.8,86.3,26335,"gp_mid",-59.25,36.1,"101",88.05,"coniacian",12753,-65.8741,31.2928,23
"51480",78119,"col","Austin Chalk",-97.75,30.25,"USGS 768, Austin",NA,"",1,"Coniacian","",89.8,86.3,26335,"gp_mid",-59.15,36.2,"101",88.05,"coniacian",12758,-65.8741,31.2928,23
"52224",79221,"col","",19.9,43.98,"Kosjeric",NA,"",7,"Coniacian","",89.8,86.3,26579,"gp_mid",28.68,28.33,"308",88.05,"coniacian",12977,25.6778,31.0977,23
"52452",79728,"col","",-1.68,43.28,"Vera de Bidasoa, fore reef",NA,"",10,"Coniacian","",89.8,86.3,26802,"gp_mid",11.67,34.62,"304",88.05,"coniacian",13052,4.8795,35.6909,23
"53750",82245,"col","Niobrara",-104.62,36.04,"USGS D12525, Section 10 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-64.56,43.21,"101",88.05,"coniacian",2418,-72.3427,37.3314,23
"53751",82246,"col","Niobrara",-104.72,36.28,"USGS D11434, Section 13 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-64.6,43.47,"101",88.05,"coniacian",13573,-71.7572,39.7891,23
"53752",82247,"col","Niobrara",-104.72,36.28,"USGS D11433, Section 13 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-64.6,43.47,"101",88.05,"coniacian",13573,-71.7572,39.7891,23
"53754",82249,"col","Niobrara",-104.72,36.28,"USGS D11432, Section 13 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-64.6,43.47,"101",88.05,"coniacian",13573,-71.7572,39.7891,23
"53755",82250,"col","Niobrara",-104.17,36.74,"USGS D11407, Section 14 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-63.84,43.8,"101",88.05,"coniacian",13574,-71.7572,39.7891,23
"53756",82251,"col","Niobrara",-104.17,36.74,"USGS D11378, Section 14 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",6,"Coniacian","",89.8,86.3,27708,"gp_mid",-63.84,43.8,"101",88.05,"coniacian",13574,-71.7572,39.7891,23
"53949",82449,"col","St Lucia",32.17,-28.47,"Locality 10 [St Lucia Fm]",NA,"",2,"Coniacian","",89.8,86.3,27772,"gp_mid",22.55,-44.91,"701",88.05,"coniacian",13620,24.7581,-41.2155,23
"53950",82450,"col","St Lucia",32.17,-28.48,"Locality 11 [St Lucia Fm]",NA,"",1,"Coniacian","",89.8,86.3,27772,"gp_mid",22.55,-44.93,"701",88.05,"coniacian",13621,24.7581,-41.2155,23
"54129",82723,"col","",13.82,55.42,"Köpingsberg-1 borehole, 604.6 m",NA,"",1,"Coniacian","",89.8,86.3,27821,"gp_mid",25.52,46.97,"302",88.05,"coniacian",13659,16.379,50.2984,23
"54130",82724,"col","",13.82,55.42,"Köpingsberg-1 borehole, 611.7 m",NA,"",1,"Coniacian","",89.8,86.3,27821,"gp_mid",25.52,46.97,"302",88.05,"coniacian",13659,16.379,50.2984,23
"54131",82725,"col","",13.82,55.42,"Köpingsberg-1 borehole, 624.8 m",NA,"",1,"Coniacian","",89.8,86.3,27821,"gp_mid",25.52,46.97,"302",88.05,"coniacian",13659,16.379,50.2984,23
"54132",82726,"col","",13.82,55.42,"Köpingsberg-1 borehole, 642.6 m",NA,"",1,"Coniacian","",89.8,86.3,27821,"gp_mid",25.52,46.97,"302",88.05,"coniacian",13659,16.379,50.2984,23
"54143",82737,"col","Awgu Ndeaboh Shale",7.47,6.05,"South of Awgu",NA,"",7,"Coniacian","",89.8,86.3,28045,"gp_mid",7.62,-5.07,"701",88.05,"coniacian",13663,3.2846,-4.7581,23
"54147",82763,"col","",11.86,9.87,"Dukul, Numan Division",NA,"Near Lamja",3,"Coniacian","",89.8,86.3,28045,"gp_mid",12.91,-2.69,"715",88.05,"coniacian",13665,7.9285,-0.5983,23
"54172",82789,"col","Mungo River",9.49,4.44,"Loc. 12, Bombe [Mungo River Fm]",NA,"",11,"Coniacian","",89.8,86.3,27823,"gp_mid",9.07,-7.21,"701",88.05,"coniacian",13667,6.9599,-5.5039,23
"54173",82790,"col","Awgu Ndeaboh Shale",7.47,6.05,"Loc. 10, N of Awgu [Awgu Ndeaboh Shale]",NA,"",2,"Coniacian","",89.8,86.3,27823,"gp_mid",7.62,-5.07,"701",88.05,"coniacian",13663,3.2846,-4.7581,23
"54174",82791,"col","Awgu Ndeaboh Shale",7.55,6.32,"Asu River, near Agbani [Awgu Ndeaboh Shale]",NA,"",4,"Coniacian","",89.8,86.3,27823,"gp_mid",7.78,-4.84,"701",88.05,"coniacian",13668,3.7978,-2.3112,23
"54369",83016,"col","Sekule",12,8.91,"Lamja, Sekule River",NA,"",7,"Coniacian","",89.8,86.3,72460,"gp_mid",12.77,-3.65,"701",88.05,"coniacian",13721,7.9285,-0.5983,23
"54373",83020,"col","Pindiga",10.93,9.98,"Pindiga (top of section), Zambuk Ridge",NA,"",2,"Coniacian","",89.8,86.3,72460,"gp_mid",12.07,-2.32,"714",88.05,"coniacian",13722,7.9285,-0.5983,23
"54601",83362,"col","Whisky Bay",-57.75,-64.17,"Brandy Bay [uppermost Brandy Bay Mbr, Whisky Bay Fm]",NA,"",1,"Coniacian","",89.8,86.3,27991,"gp_mid",-51.81,-60.74,"803",88.05,"coniacian",13836,-49.5054,-64.4183,23
"54607",83368,"col","Whisky Bay",-57.75,-64.17,"Gin Cove-Rum Cove [Rum Cove Mbr, Whisky Bay Fm]",NA,"",1,"Coniacian","",89.8,86.3,27991,"gp_mid",-51.81,-60.74,"803",88.05,"coniacian",13836,-49.5054,-64.4183,23
"54744",83563,"col","Whisky Bay",-57.75,-64.17,"Cabo Obelisco-Bahía Obelisco [Hidden Lake Fm]",NA,"",8,"Coniacian","",89.8,86.3,28033,"gp_mid",-51.81,-60.74,"803",88.05,"coniacian",13836,-49.5054,-64.4183,23
"56003",85282,"col","Niobrara",-101.77,38.92,"Baptornis advenus type locality",NA,"",1,"Coniacian","",89.8,86.3,28728,"gp_mid",-60.48,45.42,"101",88.05,"coniacian",14328,-67.3387,41.6851,23
"56797",86510,"col","",44.5,-18.68,"Ankotrofotsy-Masiadolo",NA,"Reef 2612",16,"Coniacian","",89.8,86.3,29108,"gp_mid",38.86,-37.51,"702",88.05,"coniacian",14610,39.0219,-32.3814,23
"56938",86783,"col","",-122.24,40.64,"CIT Loc. 1034 - Oak Run Rd [Member IV]",NA,"LACMIP Loc. 10869",7,"Coniacian","",89.8,86.3,29214,"gp_mid",-82.81,50.84,"101",88.05,"coniacian",14700,-89.9909,41.5616,23
"56968",86815,"col","",-122.56,41.91,"CAS Loc. 455A - Hornbrook",NA,"",4,"Coniacian","",89.8,86.3,29214,"gp_mid",-82.77,52.14,"101",88.05,"coniacian",14712,-89.1474,43.9837,23
"57073",86989,"col","",142,44.08,"Loc. XR 4040 - Obira",NA,"",1,"Coniacian","",89.8,86.3,29266,"gp_mid",139.07,52.07,"610",88.05,"coniacian",14760,148.0129,55.4603,23
"57074",86990,"col","",142,44.08,"Loc. X 2638 - Obira",NA,"",1,"Coniacian","",89.8,86.3,29266,"gp_mid",139.07,52.07,"610",88.05,"coniacian",14760,148.0129,55.4603,23
"57075",86991,"col","",142.08,43.67,"Loc. X 1117 - Ikushunbetsu",NA,"",1,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57076",86992,"col","",142.08,43.67,"Loc. X 2715 - Ikushunbetsu",NA,"",1,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57077",86993,"col","",142.08,43.67,"Loc. X 2713 - Ikushunbetsu",NA,"",2,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57078",86994,"col","",142.08,43.67,"Loc. X 2710 - Ikushunbetsu",NA,"",3,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57079",86995,"col","",142.08,43.67,"Loc. X 1110 - Ikushunbetsu",NA,"",1,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57080",86996,"col","",142.08,43.67,"Loc. X 1127 - Ikushunbetsu",NA,"",2,"Coniacian","",89.8,86.3,29266,"gp_mid",139.38,51.69,"610",88.05,"coniacian",14761,148.8612,52.2033,23
"57493",87507,"col","",-114.7,49.63,"Loc. CB1, Crowsnest River [""Colorado Shale""]",NA,"",1,"Coniacian","",89.8,86.3,29460,"gp_mid",-72.92,58.38,"127",88.05,"coniacian",14887,-79.5162,53.6571,23
"57494",87508,"col","",-114.7,49.63,"Loc. CB2, Crowsnest River [""Colorado Shale""]",NA,"",2,"Coniacian","",89.8,86.3,29460,"gp_mid",-72.92,58.38,"127",88.05,"coniacian",14887,-79.5162,53.6571,23
"57678",87708,"col","Honna",-132,53.23,"GSC Loc. 97631, Skidgate Inlet [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29508,"gp_mid",-90.37,59.41,"128",88.05,"coniacian",14936,-92.3435,54.9612,23
"57679",87709,"col","Honna",-132,53.23,"GSC Loc. 137659, Skidgate Inlet [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29494,"gp_mid",-90.37,59.41,"128",88.05,"coniacian",14936,-92.3435,54.9612,23
"57680",87710,"col","Honna",-132,53.23,"GSC Loc. 137660, Skidgate Inlet [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29494,"gp_mid",-90.37,59.41,"128",88.05,"coniacian",14936,-92.3435,54.9612,23
"57681",87711,"col","Honna",-132,53.23,"GSC Loc. 137663, Skidgate Inlet [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29494,"gp_mid",-90.37,59.41,"128",88.05,"coniacian",14936,-92.3435,54.9612,23
"57697",87735,"col","",-72.56,18.23,"USGS Loc. M18723",NA,"",8,"Coniacian","",89.8,86.3,29506,"gp_mid",NA,NA,"coordinates not computable using this model",88.05,"coniacian",14940,-89.517,3.643,23
"57698",87736,"col","",-72.56,18.23,"USGS Loc. M18724",NA,"",2,"Coniacian","",89.8,86.3,29506,"gp_mid",NA,NA,"coordinates not computable using this model",88.05,"coniacian",14940,-89.517,3.643,23
"57701",87741,"col","Honna",-131.78,53.05,"GSC Loc. 44762, Cumshewa Inlet [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29508,"gp_mid",-90.3,59.18,"128",88.05,"coniacian",14941,-92.3435,54.9612,23
"57702",87742,"col","Honna",-132.12,53.23,"GSC Loc. 44737, Western Lina Island [Honna Fm]",NA,"",1,"Coniacian","",89.8,86.3,29508,"gp_mid",-90.49,59.44,"128",88.05,"coniacian",14942,-92.3435,54.9612,23
"57719",87759,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11676, Vermilion Creek [Mancos Shale]",NA,"",5,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57721",87761,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11679, Vermilion Creek [Mancos Shale]",NA,"",7,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57723",87763,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11681, Vermilion Creek [Mancos Shale]",NA,"",6,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57724",87764,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11682, Vermilion Creek [Mancos Shale]",NA,"",4,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57726",87766,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11685, Vermilion Creek [Mancos Shale]",NA,"",5,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57727",87767,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11687, Vermilion Creek [Mancos Shale]",NA,"",5,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57728",87768,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11688, Vermilion Creek [Mancos Shale]",NA,"",5,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57729",87769,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11689, Vermilion Creek [Mancos Shale]",NA,"",8,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57730",87770,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11690, Vermilion Creek [Mancos Shale]",NA,"",3,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57731",87771,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11691, Vermilion Creek [Mancos Shale]",NA,"",5,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57734",87774,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11695, Vermilion Creek [Mancos Shale]",NA,"",3,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57735",87775,"col","Mancos Shale",-108.89,40.76,"USGS Loc. M11696, Vermilion Creek [Mancos Shale]",NA,"",4,"Coniacian","",89.8,86.3,29509,"gp_mid",-67.52,48.62,"101",88.05,"coniacian",14950,-74.9781,42.7646,23
"57901",88019,"col","Niobrara",-97.27,42.6,"USGS Loc. D10408, Cedar Co. [Niobrara Fm]",NA,"",2,"Coniacian","",89.8,86.3,29572,"gp_mid",-54.21,48,"101",88.05,"coniacian",14998,-62.9046,43.5708,23
"57983",88132,"col","Celendín",-78.53,-6.68,"Bed 22, Section 2 - Bambamarca [Celendín Fm]",NA,"",2,"Coniacian","",89.8,86.3,15338,"gp_mid",-48.23,-7.17,"201",88.05,"coniacian",15020,-52.4351,-11.6703,23
"57984",88133,"col","Celendín",-78.53,-6.68,"Bed 18, Section 2 - Bambamarca [Celendín Fm]",NA,"",1,"Coniacian","",89.8,86.3,15338,"gp_mid",-48.23,-7.17,"201",88.05,"coniacian",15020,-52.4351,-11.6703,23
"58005",88156,"col","Celendín",-78.15,-6.87,"Bed 70, Section 4 - Celendín [Celendín Fm]",NA,"",1,"Coniacian","",89.8,86.3,15338,"gp_mid",-47.86,-7.38,"201",88.05,"coniacian",15028,-52.4351,-11.6703,23
"58077",88227,"col","",-104.42,29.57,"Ojinaga, 4 km S of",NA,"",2,"Coniacian","",89.8,86.3,29627,"gp_mid",-66.34,36.88,"101",88.05,"coniacian",15052,-73.3496,32.3856,23
"58111",88261,"col","Barranquitas-Cayey",-66.07,18.45,"""Barranquitas-Cayey series""",NA,"",3,"Coniacian","",89.8,86.3,29639,"gp_mid",-50.04,10.31,"252",88.05,"coniacian",15076,-85.9665,3.1642,23
"58117",88267,"col","",-73.91,18.56,"Riviére Corail",NA,"",4,"Coniacian","",89.8,86.3,29639,"gp_mid",-57.29,12.52,"252",88.05,"coniacian",15080,-93.0614,4.1775,23
"58385",88535,"col","Austin Chalk",-98.3,29.82,"Comal Co. [Austin Chalk]",NA,"",1,"Coniacian","",89.8,86.3,29700,"gp_mid",-59.85,35.89,"101",88.05,"coniacian",15161,-65.8741,31.2928,23
"58386",88536,"col","Austin Chalk",-100.71,29.12,"Kinney Co. [Austin Chalk]",NA,"",2,"Coniacian","",89.8,86.3,29700,"gp_mid",-62.57,35.71,"101",88.05,"coniacian",15162,-69.6287,31.8536,23
"58387",88537,"col","Austin Chalk",-99.14,29.35,"Medina Co. [Austin Chalk]",NA,"",1,"Coniacian","",89.8,86.3,29700,"gp_mid",-60.86,35.61,"101",88.05,"coniacian",15163,-65.8741,31.2928,23
"58388",88538,"col","Austin Chalk",-99.47,29.32,"North of Sabinal, Uvalde Co. [Austin Chalk]",NA,"",3,"Coniacian","",89.8,86.3,29700,"gp_mid",-61.21,35.65,"101",88.05,"coniacian",15164,-69.6287,31.8536,23
