"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"130839",190086,"col","Kakara",77.1,30.91,"Bakhalag-Bughar",NA,"near the villages Kog, Ghanagughat and Kalharan",5,"Thanetian","",59.2,56,63383,"gp_mid",75.54,-5.18,"501",57.6,"thanetian",34467,71.857,6.0012,17
"132320",193035,"col","Santa Susana",-118.74,34.25,"Southwest of Santa Susana",NA,"Locality 4 of Waring 1917, LSJU 4",39,"Thanetian","",59.2,56,65473,"gp_mid",-89.73,41.94,"105",57.6,"thanetian",34806,-99.2121,36.6971,17
"132321",193036,"col","Coal Canyon",-118.63,34.05,"Locality 5 (of Waring 1917) - Santa Monica Mountains [Coal Canyon Fm]",NA,"",9,"Thanetian","",59.2,56,27071,"gp_mid",-89.65,41.73,"105",57.6,"thanetian",34807,-99.2121,36.6971,17
"132323",193038,"col","Coal Canyon",-118.65,34.06,"Locality 7 (of Waring 1917) - Santa Monica Mountains [Coal Canyon Fm]",NA,"",3,"Thanetian","",59.2,56,27071,"gp_mid",-89.68,41.74,"105",57.6,"thanetian",34809,-99.2121,36.6971,17
"132431",193460,"col","",5.23,50.57,"Vinalmont",NA,"",3,"Thanetian","",59.2,56,65726,"gp_mid",12.55,40.46,"315",57.6,"thanetian",34837,1.7834,44.5577,17
"132623",194122,"col","Kakara",77,31.07,"Kakara village",NA,"",4,"Thanetian","",59.2,56,63383,"gp_mid",75.51,-5,"501",57.6,"thanetian",34889,71.857,6.0012,17
"133911",196713,"col","Chickaloon",-148.95,61.74,"Chickaloon amber, Evan Jones Mine",NA,"",13,"Thanetian","",59.2,56,66950,"gp_mid",-113.89,75.51,"125",57.6,"thanetian",35163,-120.3378,70.1249,17
"134751",198239,"col","Saratov beds",43.98,48.73,"Karpovka",NA,"",3,"Thanetian","",59.2,56,67532,"gp_mid",45.01,39,"302",57.6,"thanetian",35399,39.9133,44.358,17
"135472",199921,"col","Tarawan",30.69,25.73,"Naqb El Rufuf, bed 12",NA,"",2,"Thanetian","",59.2,56,67989,"gp_mid",32.34,9.07,"715",57.6,"thanetian",35534,25.5749,14.908,17
"135474",199923,"col","Tarawan",30.73,25.86,"Um El Ghanayim, bed 6",NA,"",2,"Thanetian","",59.2,56,67989,"gp_mid",32.39,9.19,"715",57.6,"thanetian",35536,25.5749,14.908,17
"136415",201914,"col","",74.02,8.12,"Site 219",NA,"",5,"Thanetian","",59.2,56,69125,"gp_mid",NA,NA,"coordinates not computable using this model",57.6,"thanetian",35775,59.1403,-22.3365,17
"137990",204137,"col","Santa Susana",-118.74,34.24,"UCMP 3773, Simi Hills, Calabasas",NA,"",1,"Thanetian","",59.2,56,54289,"gp_mid",-89.73,41.94,"105",57.6,"thanetian",31208,-99.2121,36.6971,17
"138867",205349,"col","Sepultura",-115.52,29.76,"PU 1305 (=PU 1306, PU 1307)",NA,"",1,"Thanetian","",59.2,56,58870,"gp_mid",NA,NA,"coordinates not computable using this model",57.6,"thanetian",32451,NA,NA,17
"138886",205391,"col","Simi",-122.08,38,"Pacheco, north",NA,"",1,"Thanetian","",59.2,56,66330,"gp_mid",-91.06,47.22,"130",57.6,"thanetian",8260,NA,NA,17
"138887",205392,"col","Simi",-122.13,38.02,"Martinez, near",NA,"",2,"Thanetian","",59.2,56,66330,"gp_mid",-91.12,47.25,"130",57.6,"thanetian",36447,NA,NA,17
"138888",205393,"col","San Francisquito",-117.85,34.42,"UCMP loc. 2245, Pinyon Ridge",NA,"Rock Creek, Big Rock Creek",14,"Thanetian","",59.2,56,72882,"gp_mid",-88.71,41.98,"105",57.6,"thanetian",36448,-98.0847,40.6031,17
"138889",205394,"col","Simi",-118.72,34.26,"Meier Canyon",NA,"UCR 4573, UCR 6668, UCR 6670, UCR 6671, UCR 6682, UCR 6805, UCR 6806, UCR 6825, UCR 6873, UCR 6899, UCR, 7319, 7320",16,"Thanetian","",59.2,56,66330,"gp_mid",-89.71,41.95,"105",57.6,"thanetian",31205,-99.2121,36.6971,17
