"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"51791",78514,"col","",-3.78,40.18,"Cerro de Batallones 1",NA,"",5,"MN 10","",9.7,8.7,26395,"gp_mid",-2.51,38.79,"304",9.2
"51845",78573,"col","",0.5,42.200001,"Hostalets de Pierola superior",NA,"",1,"MN 9","",11.1,9.7,26414,"gp_mid",1.88,40.55,"304",10.4
"51846",78574,"col","",0.7,41.200001,"Can Llobateres 1",NA,"",6,"MN 9","",11.1,9.7,26419,"gp_mid",2.04,39.55,"304",10.4
"51882",78631,"col","",15.083333,40.333332,"Cava di Argilla, Salerno, G. suterae zone",NA,"",19,"Tortonian","",11.62,7.246,26440,"gp_mid",16.29,38.07,"307",9.433
"51964",78751,"col","",-4.766667,41.916668,"Ampudia 9",NA,"",1,"MN 9","",11.1,9.7,26484,"gp_mid",-3.26,40.39,"304",10.4
"52202",79180,"col","Arroyo Chasicó",-62.983334,-38.616669,"Arroyo Chasicó",NA,"",47,"Chasicoan","",10,9,26574,"gp_mid",-61.48,-38.2,"202",9.5
"52297",79784,"col","Gatun",-79.815498,9.3547,"PPP# 221 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17639",47,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52477",79779,"col","Gatun",-79.815498,9.3547,"PPP# 218 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17636",29,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52478",79780,"col","Gatun",-79.815498,9.3547,"PPP# 219 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17637",51,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52479",79783,"col","Gatun",-79.815498,9.3547,"PPP# 220 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17638",63,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52480",79785,"col","Gatun",-79.815498,9.3547,"PPP# 222 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17640",60,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52481",79790,"col","Gatun",-79.821327,9.38129,"PPP# 226 - Isla Payardi [middle Gatun Fm]",NA,"NMB Loc. 17644",71,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.32,"230",9.433
"52482",79791,"col","Gatun",-79.833603,9.3618,"PPP# 227 - Cativa [lower Gatun Fm]",NA,"NMB Loc. 17645",77,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.57,10.3,"230",9.433
"52483",79792,"col","Gatun",-79.83194,9.35989,"PPP# 229 - Cativa [lower Gatun Fm]",NA,"NMB Loc. 17647",61,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.56,10.3,"230",9.433
"52499",79834,"col","Gatun",-79.851578,9.35133,"PPP# 484 - Cativa [lower Gatun Fm]",NA,"NMB Loc. 17865",16,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.58,10.29,"230",9.433
"52532",79963,"col","Bayshore",-82.172775,27.033333,"Cocoplum Waterway [Cocoplum Mbr, Bayshore Fm]",NA,"",6,"Tortonian","",11.62,7.246,26813,"gp_mid",-78.83,28.44,"109",9.433
"52545",79984,"col","Gatun",-79.815498,9.3547,"PPP# 223 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17641",63,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52546",79985,"col","Gatun",-79.831367,9.36425,"PPP# 224 - Isla Payardi [middle Gatun Fm]",NA,"NMB Loc. 17642",76,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.56,10.31,"230",9.433
"52547",79986,"col","Gatun",-79.830933,9.36006,"PPP# 230 - Cativa [lower Gatun Fm]",NA,"NMB Loc. 17648",10,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.56,10.3,"230",9.433
