"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"6588",33482,"col","Brenha",-8.466667,40.033333,"Sample 127, Bed 47, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",10,"Bifrons","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6589",33483,"col","Brenha",-8.466667,40.033333,"Sample 128, Bed 48, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",8,"Variabilis","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6590",33484,"col","Brenha",-8.466667,40.033333,"Sample 129, Bed 49, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",9,"Thouarsense","",180.1,175.6,8881,"gp_mid",15.29,30.18,"304",1,177.85,"toarcian"
"6592",33486,"col","Brenha",-8.466667,40.033333,"Sample 131, Bed 50, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",13,"Levesquei","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6593",33487,"col","Brenha",-8.466667,40.033333,"Sample 132, Bed 50, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",12,"Levesquei","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6594",33488,"col","Brenha",-8.466667,40.033333,"Sample 133, Bed 50, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",11,"Levesquei","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6595",33489,"col","Brenha",-8.466667,40.033333,"Sample 134, Bed 50, Brenha Fm, Maria Pares Hill, Zambujal",NA,"",10,"Levesquei","",182,175.6,8881,"gp_mid",15.02,30.59,"304",1,178.8,"toarcian"
"6602",33497,"col","",-4.1,52.817001,"Mochras Borehole, near Llanbedr, North Wales",NA,"",17,"Toarcian","",182.7,174.1,8883,"gp_mid",17.61,39.65,"315",1,178.4,"toarcian"
"6683",33613,"col","",-5.517,34.049999,"Moulay Idriss, Atlas Mountains",NA,"",7,"Late Toarcian","",180.1,175.6,8925,"gp_mid",NA,NA,"coordinates not computable using this model",1,177.85,"toarcian"
"6686",33617,"col","",-5.5,34.099998,"Beni Meraz, Atlas Mountains",NA,"",2,"Toarcian","",182.7,174.1,8925,"gp_mid",NA,NA,"coordinates not computable using this model",1,178.4,"toarcian"
"6740",33702,"col","El Cholo",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 433-435, San Juan",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6741",33703,"col","El Cholo",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 436, San Juan",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6742",33704,"col","El Cholo",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 437, San Juan",NA,"",11,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
