"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"598",2113,"col","",40.259724,43.30389,"Gagra 2",NA,"",4,"Valanginian","",139.8,132.9,62,"gp_mid",54.07,29.51,"511",1,136.35,"valanginian"
"612",2118,"col","Mraznica",21.279167,49.424999,"Butkov Quarry1(CZE)",NA,"",22,"Valanginian","",139.8,132.9,63,"gp_mid",37.87,33.73,"305",1,136.35,"valanginian"
"649",2401,"col","Mount Oratia",-160,60,"USGS-GC4-1325 (Mt. Oratia)",NA,"",2,"Valanginian","",139.8,132.9,71,"gp_mid",-72.2,67.41,"123",1,136.35,"valanginian"
"650",2402,"col","Mount Oratia",-160,60,"USGS-GC4-1121 (Mt. Oratia)",NA,"",3,"Valanginian","",139.8,132.9,71,"gp_mid",-72.2,67.41,"123",1,136.35,"valanginian"
"651",2403,"col","Mount Oratia",-160,60,"USGS-GC4-2086 (Mt. Oratia)",NA,"",3,"Valanginian","",139.8,132.9,71,"gp_mid",-72.2,67.41,"123",1,136.35,"valanginian"
"682",2464,"col","",105,75,"Kheta River-11",NA,"",1,"Valanginian","",139.8,132.9,73,"gp_mid",73.71,70.03,"401",1,136.35,"valanginian"
"688",2472,"col","",97.633331,70.800003,"Boyarka River-7",NA,"",20,"Valanginian","",139.8,132.9,73,"gp_mid",78.12,65.62,"401",1,136.35,"valanginian"
"689",2466,"col","",97.633331,70.800003,"Boyarka River-8",NA,"",16,"Valanginian","",139.8,132.9,73,"gp_mid",78.12,65.62,"401",1,136.35,"valanginian"
"690",2473,"col","",97.633331,70.800003,"Boyarka River-9",NA,"",16,"Valanginian","",139.8,132.9,73,"gp_mid",78.12,65.62,"401",1,136.35,"valanginian"
"691",2474,"col","",97.633331,70.800003,"Boyarka River-10",NA,"",10,"Valanginian","",139.8,132.9,73,"gp_mid",78.12,65.62,"401",1,136.35,"valanginian"
"703",2486,"col","",113,73,"Cape Urdyuk-Khaya-12",NA,"",24,"Valanginian","",139.8,132.9,73,"gp_mid",82.38,70.61,"401",1,136.35,"valanginian"
"704",2487,"col","",113,73,"Cape Urdyuk-Khaya-13",NA,"",29,"Valanginian","",139.8,132.9,73,"gp_mid",82.38,70.61,"401",1,136.35,"valanginian"
"710",2493,"col","",57,64.5,"Yatriya River-6",NA,"",33,"Valanginian","",139.8,132.9,73,"gp_mid",59.07,52.43,"302",1,136.35,"valanginian"
"726",2509,"col","",70,62.5,"Western Siberia-4",NA,"",11,"Valanginian","",139.8,132.9,73,"gp_mid",69.14,52.85,"402",1,136.35,"valanginian"
"731",2514,"col","",40.25,54.299999,"Oka River-5",NA,"",5,"Valanginian","",139.8,132.9,73,"gp_mid",51.43,40.29,"302",1,136.35,"valanginian"
"732",2515,"col","",38.716667,55.316666,"Voskresensk",NA,"",19,"Valanginian","",139.8,132.9,73,"gp_mid",50.01,41.11,"302",1,136.35,"valanginian"
"743",2526,"col","",48.433334,53.033333,"Volga River-5",NA,"",2,"Valanginian","",139.8,132.9,73,"gp_mid",57.99,40.18,"302",1,136.35,"valanginian"
"748",2531,"col","",48.474445,53.173058,"Syzran River-5",NA,"",1,"Valanginian","",139.8,132.9,73,"gp_mid",57.97,40.32,"302",1,136.35,"valanginian"
"751",2534,"col","",168,66.5,"Pereval'naya River-3",NA,"",3,"Valanginian","",139.8,132.9,73,"gp_mid",-179.6,73.26,"405",1,136.35,"valanginian"
"3255",12168,"col","",6.516667,43.849998,"Castellane, Cheiron (Alpes de Hte Provence)",NA,"",1,"Valanginian","",139.8,132.9,4226,"gp_mid",26.43,27.67,"305",1,136.35,"valanginian"
"4049",74564,"col","",5.366667,43.216667,"Mont Rose, Marseille",NA,"Reef 2831",3,"Valanginian","",139.8,132.9,25065,"gp_mid",25.5,27.03,"305",1,136.35,"valanginian"
"4520",25151,"col","Magyaregregy Conglomerate",18.25,46.166668,"Janosi-puszta, Mecsek Mts., Hungary",NA,"Reef 1144",60,"Valanginian","",139.8,132.9,7062,"gp_mid",38.11,14.23,"308",1,136.35,"valanginian"
"4896",27535,"col","Chachao",-69.533333,-35.75,"Chihuido, Mendoza, Argentina",NA,"",4,"Valanginian","",139.8,132.9,7590,"gp_mid",-28.76,-37.75,"291",1,136.35,"valanginian"
"8367",37333,"col","",-70.26667,-37.383331,"Cerro La Parva",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-29.55,-39.37,"291",1,136.35,"valanginian"
"8672",37721,"col","Agrio",-68,-38.983334,"Cerro Caicayen 1",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8673",37722,"col","Agrio",-68,-38.983334,"Cerro Caicayen 2",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8674",37723,"col","Agrio",-68,-38.983334,"Cerro Caicayen 3",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8675",37724,"col","Agrio",-68,-38.983334,"Cerro Caicayen 4",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8676",37725,"col","Agrio",-68,-38.983334,"Cerro Caicayen 5",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8677",37726,"col","Agrio",-68,-38.983334,"Cerro Caicayen 6",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8678",37727,"col","Agrio",-68,-38.983334,"Cerro Caicayen 7",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8679",37728,"col","Agrio",-68,-38.983334,"Cerro Caicayen 8",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8680",37729,"col","Agrio",-68,-38.983334,"Cerro Caicayen 9",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8681",37730,"col","Agrio",-68,-38.983334,"Cerro Caicayen 10",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8682",37731,"col","Agrio",-68,-38.983334,"Cerro Caicayen 11",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8683",37732,"col","Agrio",-68,-38.983334,"Cerro Caicayen 12",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8684",37733,"col","Agrio",-68,-38.983334,"Cerro Caicayen 13",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8685",37734,"col","Agrio",-68,-38.983334,"Cerro Caicayen 14",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8686",37735,"col","Agrio",-68,-38.983334,"Cerro Caicayen 15",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8687",37736,"col","Agrio",-68,-38.983334,"Cerro Caicayen 16",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8688",37737,"col","Agrio",-68,-38.983334,"Cerro Caicayen 17",NA,"",4,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8689",37738,"col","Agrio",-68,-38.983334,"Cerro Caicayen 18",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8690",37739,"col","Agrio",-68,-38.983334,"Cerro Caicayen 19",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8691",37740,"col","Agrio",-68,-38.983334,"Cerro Caicayen 20",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8692",37741,"col","Agrio",-68,-38.983334,"Cerro Caicayen 21",NA,"",5,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8693",37742,"col","Agrio",-68,-38.983334,"Cerro Caicayen 22",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8694",37743,"col","Agrio",-68,-38.983334,"Cerro Caicayen 23",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8695",37744,"col","Agrio",-68,-38.983334,"Cerro Caicayen 24",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8696",37745,"col","Agrio",-68,-38.983334,"Cerro Caicayen 25",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8697",37746,"col","Agrio",-68,-38.983334,"Cerro Caicayen 5-1",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-27.26,-41,"291",1,136.35,"valanginian"
"8702",37752,"col","Agrio",-67.699997,-39.450001,"Mina San Eduardo 1",NA,"",3,"Valanginian","",139.8,132.9,10016,"gp_mid",-26.96,-41.47,"291",1,136.35,"valanginian"
"8703",37753,"col","Agrio",-67.699997,-39.450001,"Mina San Eduardo 2",NA,"",1,"Valanginian","",139.8,132.9,10016,"gp_mid",-26.96,-41.47,"291",1,136.35,"valanginian"
"8704",37754,"col","Agrio",-67.699997,-39.450001,"Mina San Eduardo 3",NA,"",2,"Valanginian","",139.8,132.9,10016,"gp_mid",-26.96,-41.47,"291",1,136.35,"valanginian"
"8753",37837,"col","",-9.773333,30.6075,"Aghroud 2, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.86,19.58,"707",1,136.35,"valanginian"
"8754",37842,"col","",-9.773333,30.6075,"Aghroud 3, Cap Ghir",NA,"",2,"Valanginian","",139.8,132.9,7668,"gp_mid",6.86,19.58,"707",1,136.35,"valanginian"
"8755",37843,"col","",-9.773333,30.6075,"Aghroud 4, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.86,19.58,"707",1,136.35,"valanginian"
"8756",37844,"col","",-9.773333,30.6075,"Aghroud 5, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.86,19.58,"707",1,136.35,"valanginian"
"8760",37848,"col","",-9.705833,30.599722,"Addar 108, Cap Ghir",NA,"",2,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8761",37849,"col","",-9.705833,30.599722,"Addar 109, Cap Ghir",NA,"",3,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8762",37850,"col","",-9.705833,30.599722,"Addar 110, Cap Ghir",NA,"",2,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8763",37851,"col","",-9.705833,30.599722,"Addar 112, Cap Ghir",NA,"",2,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8764",37852,"col","",-9.705833,30.599722,"Addar 114, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8765",37853,"col","",-9.705833,30.599722,"Addar 119, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
"8766",37854,"col","",-9.705833,30.599722,"Addar 120, Cap Ghir",NA,"",1,"Valanginian","",139.8,132.9,7668,"gp_mid",6.9,19.54,"707",1,136.35,"valanginian"
