"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"129907",187968,"col","Villavieja",-75.26,3.21,"Duke locality 16 (Dina Oilfield)",NA,"",2,"Laventan","",13.8,11.8,46925,"gp_mid",-71.66,4,"201",12.8,"serravallian",34339,-73.0392,0.936,7
"129909",187970,"col","Villavieja",-75.2,3.26,"Duke locality 5",NA,"",3,"Laventan","",13.8,11.8,46925,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",34341,-73.0392,0.936,7
"129910",187971,"col","La Victoria",-75.16,3.3,"Duke locality 48",NA,"",1,"Laventan","",13.8,11.8,46925,"gp_mid",-71.56,4.09,"201",12.8,"serravallian",34147,-73.0392,0.936,7
"129911",187972,"col","Villavieja",-75.17,3.25,"Duke locality 66",NA,"",2,"Laventan","",13.8,11.8,46925,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129912",187973,"col","La Victoria",-75.16,3.33,"Duke locality 88",NA,"",1,"Laventan","",13.8,11.8,46925,"gp_mid",-71.55,4.12,"201",12.8,"serravallian",34161,-73.0392,0.936,7
"129913",187974,"col","La Victoria",-75.14,3.35,"Duke locality 92",NA,"",3,"Laventan","",13.8,11.8,46925,"gp_mid",-71.54,4.14,"201",12.8,"serravallian",34342,-73.0392,0.936,7
"129914",187975,"col","La Victoria",-75.1,3.23,"Duke locality 134",NA,"",1,"Laventan","",13.8,11.8,46925,"gp_mid",-71.5,4.02,"201",12.8,"serravallian",34343,-73.0392,0.936,7
"129915",187976,"col","La Victoria",-75.11,3.26,"Duke locality 139",NA,"",1,"Laventan","",13.8,11.8,46925,"gp_mid",-71.51,4.05,"201",12.8,"serravallian",34344,-73.0392,0.936,7
"129916",188018,"col","La Victoria",-75.16,3.31,"Duke locality 61",NA,"",1,"Laventan","",13.8,11.8,46868,"gp_mid",-71.56,4.1,"201",12.8,"serravallian",34243,-73.0392,0.936,7
"129917",188019,"col","La Victoria",-75.17,3.3,"Cerro Gordo (3)",NA,"V4532",1,"Laventan","",13.8,11.8,46952,"gp_mid",-71.57,4.09,"201",12.8,"serravallian",1599,-73.0392,0.936,7
"129918",188020,"col","La Victoria",-75.12,3.26,"Duke locality 138",NA,"",1,"Laventan","",13.8,11.8,46952,"gp_mid",-71.51,4.04,"201",12.8,"serravallian",34345,-73.0392,0.936,7
