"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"109731",155365,"col","Zaoshang",113.849998,28.014999,"KHG 89, Zaoshang, Chengtanjiang, Liuyang City",NA,"",1,"Sinemurian","",199.3,190.8,50682,"gp_mid",135.3,41.41,"611",195.05
"109735",155370,"col","Zaoshang",113.849998,28.014999,"KHG 90, Zaoshang, Chengtanjiang, Liuyang City",NA,"",1,"Sinemurian","",199.3,190.8,50682,"gp_mid",135.3,41.41,"611",195.05
"110264",156323,"col","Menkoushan",117.470001,28.635,"Meixi, Yiyang County",NA,"",5,"Sinemurian","",199.3,190.8,51213,"gp_mid",139.5,42.28,"611",195.05
"111109",157853,"col","Hierlatz Limestone",13.633,47.549999,"Hierlatz",NA,"",1,"Sinemurian","",199.3,190.8,51896,"gp_mid",31.79,30.18,"307",195.05
"111110",157854,"col","Hierlatz Limestone",12.6,47.599998,"Steinplatte",NA,"",1,"Sinemurian","",199.3,190.8,51896,"gp_mid",31.3,30.74,"307",195.05
"111281",158209,"col","",-2.09,51.907001,"Great Western Railway cutting, Cheltenham",NA,"",1,"Sinemurian","",199.3,190.8,51972,"gp_mid",10.3,38.46,"315",195.05
"111284",158213,"col","",-2.933333,50.716667,"Lyme Regis unspecified (OUM)",NA,"",2,"Sinemurian","",199.3,190.8,51972,"gp_mid",10.33,37.16,"315",195.05
"111739",159017,"col","",32.7766,40.064201,"Yakacik Valley",NA,"",14,"Sinemurian","",199.3,190.8,52035,"gp_mid",43.45,42.96,"510",195.05
"111909",159192,"col","Bocchigliero",16.607,39.451,"S.S. Silana di Rossano",NA,"",1,"Sinemurian","",199.3,190.8,52076,"gp_mid",26.88,23.04,"307",195.05
"112115",159481,"col","",13.5875,47.537224,"Mitterwand (Locality 2)",NA,"",14,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.75,30.2,"307",195.05
"112116",159482,"col","",13.582,47.542,"Mitterwand (Locality 3)",NA,"",8,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.76,30.2,"307",195.05
"112117",159483,"col","",13.584,47.555,"Mitterwand (Locality 4)",NA,"",8,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.77,30.21,"307",195.05
