"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"65161",97856,"col","Lercheck Limestone",13.06,47.67,"Dürrnberg mountain",NA,"",2,"Ladinian","",242,237,33825,"gp_mid",36.63,16.34,"307",239.5,"ladinian",17308,19.3809,25.8877,46
"65179",97874,"col","Sina",60.85,35.99,"Faqir Marl Bed, Aghdarband, Khorassan",NA,"",24,"Ladinian","",242,237,32295,"gp_mid",74.62,31.22,"402",239.5,"ladinian",17318,73.6849,27.823,46
"66080",98851,"col","Falang",104.88,25.08,"Xingyi",NA,"",2,"Ladinian","",242,237,34062,"gp_mid",108.36,-8,"611",239.5,"ladinian",17682,119.7653,18.7825,46
"66418",99237,"col","Santa Maria",-53.23,-29.72,"Rincao do Pinhal",NA,"",5,"Ladinian","",242,237,34131,"gp_mid",-12.11,-35.25,"201",239.5,"ladinian",17805,-14.582,-49.0435,46
"66483",99314,"col","Calcare del Clapsavon",12.67,46.38,"Clap di Val",NA,"",1,"Ladinian","",242,237,34143,"gp_mid",35.32,15.96,"307",239.5,"ladinian",17826,19.3809,25.8877,46
"66495",99363,"col","Santa Maria",-54.37,-29.67,"Baum-Sanga (excavation 43), Chiniquá",NA,"Spondylosoma type site",1,"Ladinian","",242,237,24668,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66496",99365,"col","Santa Maria",-54.37,-29.67,"Baum-Sanga (excavation 45), Chiniquá",NA,"",3,"Ladinian","",242,237,24668,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66497",99368,"col","Santa Maria",-54.37,-29.67,"Baum-Sanga (excavation 42), Chiniquá",NA,"",1,"Ladinian","",242,237,24668,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66498",99374,"col","Santa Maria",-54.37,-29.67,"Sanga südlich des Weges, Chiniquá",NA,"",3,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66525",99412,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (excavation 41), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
