"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",20.14,11.475,30
2,75,60,67.5,"N",95.92,80.475,116.05
3,60,45,52.5,"N",453.23,423.475,482.525
4,45,30,37.5,"N",600.48,572.95,624.575
5,30,15,22.5,"N",179.76,157,206.575
6,15,0,7.5,"N",19.78,10.475,29
7,0,-15,-7.5,"S",6.85,3,12.525
8,-15,-30,-22.5,"S",40.74,29,54.575
9,-30,-45,-37.5,"S",176.23,157.475,202
10,-45,-60,-52.5,"S",73.98,57.475,92
11,-60,-75,-67.5,"S",23.87,13.475,35.05
12,-75,-90,-82.5,"S",5.17,1,9.52499999999999
