"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",23.71,16.475,33.05
2,75,60,67.5,"N",117.86,96.375,135.525
3,60,45,52.5,"N",396.92,369.475,424.525
4,45,30,37.5,"N",452.32,416.95,484.525
5,30,15,22.5,"N",157.34,138.475,186.05
6,15,0,7.5,"N",20.63,12,29
7,0,-15,-7.5,"S",6.41,3,11
8,-15,-30,-22.5,"S",45.82,33,57.525
9,-30,-45,-37.5,"S",210.4,186.425,239.05
10,-45,-60,-52.5,"S",244.64,215.95,269.05
11,-60,-75,-67.5,"S",98.89,82.475,119
12,-75,-90,-82.5,"S",13.57,5.95,21.525
