"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",18.9,11.475,28.05
2,75,60,67.5,"N",110.58,94.475,131.625
3,60,45,52.5,"N",515.37,485.325,543.05
4,45,30,37.5,"N",486.48,452.9,523.05
5,30,15,22.5,"N",132.25,114,156.525
6,15,0,7.5,"N",19.46,12.475,27.525
7,0,-15,-7.5,"S",17.87,10.475,25
8,-15,-30,-22.5,"S",93.86,76.95,112.525
9,-30,-45,-37.5,"S",220.32,198.475,249.05
10,-45,-60,-52.5,"S",76.4,62.95,93.525
11,-60,-75,-67.5,"S",21.18,13.475,29
12,-75,-90,-82.5,"S",6.03,2,10.525
