"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",14.89,9.475,22.525
2,75,60,67.5,"N",110.42,93.475,128.525
3,60,45,52.5,"N",282.78,257.475,313.625
4,45,30,37.5,"N",349.35,319.475,384.575
5,30,15,22.5,"N",162.66,140.95,185.575
6,15,0,7.5,"N",19,10,30
7,0,-15,-7.5,"S",5.31,1,10.525
8,-15,-30,-22.5,"S",46.24,33,60
9,-30,-45,-37.5,"S",230.67,205.95,256.525
10,-45,-60,-52.5,"S",389.77,361.425,415.05
11,-60,-75,-67.5,"S",141.34,118.475,163
12,-75,-90,-82.5,"S",4.52,1,9.52499999999999
