"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",23.09,14.475,30
2,75,60,67.5,"N",141.88,123,155.525
3,60,45,52.5,"N",419.6,382.85,447.05
4,45,30,37.5,"N",444.55,414.375,478.675
5,30,15,22.5,"N",161.25,140.475,186.05
6,15,0,7.5,"N",28.55,17.95,39.525
7,0,-15,-7.5,"S",16.54,10,22
8,-15,-30,-22.5,"S",78.17,62.425,95.05
9,-30,-45,-37.5,"S",241.89,214.425,268.525
10,-45,-60,-52.5,"S",286.86,258.9,318.525
11,-60,-75,-67.5,"S",104.91,90.95,123.05
12,-75,-90,-82.5,"S",19.57,9.475,28.525
