"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",35.06,25,44.525
2,75,60,67.5,"N",225.61,198.475,252.575
3,60,45,52.5,"N",624.73,600.475,647.525
4,45,30,37.5,"N",606.47,577,635.625
5,30,15,22.5,"N",196.74,172.475,221.05
6,15,0,7.5,"N",33.16,25.475,44
7,0,-15,-7.5,"S",12.01,5,17.525
8,-15,-30,-22.5,"S",39.14,27,50
9,-30,-45,-37.5,"S",73.51,59,89.525
10,-45,-60,-52.5,"S",79.95,65.425,100.05
11,-60,-75,-67.5,"S",39.2,28.475,51
12,-75,-90,-82.5,"S",7.1,3,11
