"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",29.7,18.475,40.525
2,75,60,67.5,"N",162.04,141,182.525
3,60,45,52.5,"N",348.87,319.95,374.525
4,45,30,37.5,"N",389.07,362.475,423.575
5,30,15,22.5,"N",161.32,138.9,183.525
6,15,0,7.5,"N",29.76,20.475,37.525
7,0,-15,-7.5,"S",19,12,27.525
8,-15,-30,-22.5,"S",96.24,79,116.625
9,-30,-45,-37.5,"S",286.97,264.95,311.525
10,-45,-60,-52.5,"S",314.15,290,343.1
11,-60,-75,-67.5,"S",115.86,97,137.05
12,-75,-90,-82.5,"S",19.92,12,26.525
