"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",27.13,15.95,37.525
2,75,60,67.5,"N",145,124.475,166
3,60,45,52.5,"N",434.83,406,467.675
4,45,30,37.5,"N",563,531.8,587.05
5,30,15,22.5,"N",215.91,190.475,241
6,15,0,7.5,"N",38.84,26.475,50
7,0,-15,-7.5,"S",20.2,13,29
8,-15,-30,-22.5,"S",86.71,73.475,100.575
9,-30,-45,-37.5,"S",237.37,214.475,265.1
10,-45,-60,-52.5,"S",167.32,148.475,192.525
11,-60,-75,-67.5,"S",38.37,28.475,50
12,-75,-90,-82.5,"S",6.83,2,12
