"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",7.95,3,13.525
2,75,60,67.5,"N",53.47,41,67
3,60,45,52.5,"N",230.26,208,255.625
4,45,30,37.5,"N",335.46,305.9,365.15
5,30,15,22.5,"N",85.46,68.475,103.525
6,15,0,7.5,"N",9.98,4,17
7,0,-15,-7.5,"S",8.21,3.475,15
8,-15,-30,-22.5,"S",109.56,91.425,128.1
9,-30,-45,-37.5,"S",375.25,352,402.05
10,-45,-60,-52.5,"S",389.25,363.9,415.1
11,-60,-75,-67.5,"S",96.71,78.95,114.525
12,-75,-90,-82.5,"S",18.23,11.95,26.525
