"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",28.58,16.95,38.525
2,75,60,67.5,"N",161.89,141.9,182.525
3,60,45,52.5,"N",428.69,398,462
4,45,30,37.5,"N",477.95,455.475,502.525
5,30,15,22.5,"N",172.36,148,195.575
6,15,0,7.5,"N",31.82,21.475,43
7,0,-15,-7.5,"S",20.15,12.475,29
8,-15,-30,-22.5,"S",96.02,82.95,115.525
9,-30,-45,-37.5,"S",251.47,229.475,275.525
10,-45,-60,-52.5,"S",224.08,203.475,252.525
11,-60,-75,-67.5,"S",71.82,58,87.525
12,-75,-90,-82.5,"S",11.6,5,19.525
