"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",25.02,17.475,38
2,75,60,67.5,"N",151.09,127.95,171.575
3,60,45,52.5,"N",442.25,407.95,471.525
4,45,30,37.5,"N",454.85,424.475,491
5,30,15,22.5,"N",149.13,124.425,172.575
6,15,0,7.5,"N",27.83,19.475,37
7,0,-15,-7.5,"S",18.85,10.475,29
8,-15,-30,-22.5,"S",91.14,76,108.575
9,-30,-45,-37.5,"S",272.07,249,301.05
10,-45,-60,-52.5,"S",253.94,227.95,282.05
11,-60,-75,-67.5,"S",78.4,59,94.525
12,-75,-90,-82.5,"S",16.97,10,25.525
