"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",13.87,7.475,21
2,75,60,67.5,"N",78.78,63.475,98.575
3,60,45,52.5,"N",311.7,282.425,343.575
4,45,30,37.5,"N",372.6,339.475,403.15
5,30,15,22.5,"N",121.74,100.95,143.05
6,15,0,7.5,"N",22.49,14.475,32
7,0,-15,-7.5,"S",23.32,14.425,34
8,-15,-30,-22.5,"S",126.11,106,147.05
9,-30,-45,-37.5,"S",363.81,332.425,388.525
10,-45,-60,-52.5,"S",359.39,323,387.525
11,-60,-75,-67.5,"S",139.87,119.95,159.525
12,-75,-90,-82.5,"S",24.55,16.475,34.525
