"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",24.75,16,33.525
2,75,60,67.5,"N",150.21,130.475,168.525
3,60,45,52.5,"N",445.95,423.475,475.2
4,45,30,37.5,"N",468.18,439.375,499.625
5,30,15,22.5,"N",167.02,146,187.525
6,15,0,7.5,"N",30.85,20.95,41.525
7,0,-15,-7.5,"S",15.99,9,23.525
8,-15,-30,-22.5,"S",72.61,57.475,92
9,-30,-45,-37.5,"S",216.16,188,243.625
10,-45,-60,-52.5,"S",258.21,233.225,285.05
11,-60,-75,-67.5,"S",100.78,82.95,120.05
12,-75,-90,-82.5,"S",18.51,11.475,26.525
