"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",22.88,16,31.525
2,75,60,67.5,"N",129.88,113,151.525
3,60,45,52.5,"N",465.52,435.95,495.575
4,45,30,37.5,"N",467.12,436.95,504.575
5,30,15,22.5,"N",122.28,104,144
6,15,0,7.5,"N",20.3,12.475,29.525
7,0,-15,-7.5,"S",6.31,2,11.525
8,-15,-30,-22.5,"S",63.56,46.95,78.525
9,-30,-45,-37.5,"S",226.52,200.95,248.525
10,-45,-60,-52.5,"S",195.44,171.425,218.575
11,-60,-75,-67.5,"S",78.08,62.95,94
12,-75,-90,-82.5,"S",6.54,2,11.525
