"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",34.88,24.475,45.525
2,75,60,67.5,"N",221.55,197,244.575
3,60,45,52.5,"N",626.25,596.95,656.1
4,45,30,37.5,"N",607.01,571.475,638.1
5,30,15,22.5,"N",199.06,173,218
6,15,0,7.5,"N",32.62,22.95,44.05
7,0,-15,-7.5,"S",12.44,7,16.525
8,-15,-30,-22.5,"S",39.99,29,51.525
9,-30,-45,-37.5,"S",76.44,61.475,93
10,-45,-60,-52.5,"S",79.71,64.475,96.05
11,-60,-75,-67.5,"S",37.57,27.95,49.525
12,-75,-90,-82.5,"S",6.57,2,11
