"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",18.52,11,28
2,75,60,67.5,"N",86.77,71.475,102.05
3,60,45,52.5,"N",318.87,284.475,344.525
4,45,30,37.5,"N",444.58,414.475,474.625
5,30,15,22.5,"N",165.65,146,189.525
6,15,0,7.5,"N",22.39,14,32.575
7,0,-15,-7.5,"S",8.52,2,14.525
8,-15,-30,-22.5,"S",58.07,44,70.525
9,-30,-45,-37.5,"S",231.06,208,257.625
10,-45,-60,-52.5,"S",274.61,247.95,304
11,-60,-75,-67.5,"S",106.82,88.95,121.525
12,-75,-90,-82.5,"S",15.37,8,23.525
