"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",29.65,20.425,40
2,75,60,67.5,"N",171.22,153.475,197.05
3,60,45,52.5,"N",444.32,411.95,481
4,45,30,37.5,"N",465.96,437.475,492
5,30,15,22.5,"N",175.79,154.425,199.525
6,15,0,7.5,"N",33.79,22.95,44
7,0,-15,-7.5,"S",20.57,12.475,30.525
8,-15,-30,-22.5,"S",93.06,76.475,110.575
9,-30,-45,-37.5,"S",241.23,214.95,264.525
10,-45,-60,-52.5,"S",197.15,170.95,225
11,-60,-75,-67.5,"S",76.95,62,95.05
12,-75,-90,-82.5,"S",21.02,11.475,30
