"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",18.18,11.475,27.525
2,75,60,67.5,"N",103.57,85.475,123.525
3,60,45,52.5,"N",358.25,327.375,386.525
4,45,30,37.5,"N",450.71,423.475,482.1
5,30,15,22.5,"N",174.42,154,200
6,15,0,7.5,"N",30.68,20.475,40.525
7,0,-15,-7.5,"S",17.22,9,25.525
8,-15,-30,-22.5,"S",83.81,66.475,102
9,-30,-45,-37.5,"S",273.02,244.475,301
10,-45,-60,-52.5,"S",307.42,282.475,335.575
11,-60,-75,-67.5,"S",123.42,106,143.525
12,-75,-90,-82.5,"S",24.04,15.475,32
