"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",25.99,18,35.575
2,75,60,67.5,"N",133.31,115,153.525
3,60,45,52.5,"N",400.99,371.475,432.575
4,45,30,37.5,"N",430.3,396.425,458.525
5,30,15,22.5,"N",102.08,87.475,123
6,15,0,7.5,"N",18.02,9.475,24.525
7,0,-15,-7.5,"S",13.01,7.475,18
8,-15,-30,-22.5,"S",90.61,67.475,111.05
9,-30,-45,-37.5,"S",273.16,242.425,300.05
10,-45,-60,-52.5,"S",189.54,167.375,213.525
11,-60,-75,-67.5,"S",61.38,49,81.525
12,-75,-90,-82.5,"S",10.45,4,17.525
