"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",13.19,7.475,20
2,75,60,67.5,"N",85.16,70,102.05
3,60,45,52.5,"N",256.79,226,283
4,45,30,37.5,"N",377.81,347.475,407
5,30,15,22.5,"N",155.57,138.95,175.575
6,15,0,7.5,"N",18.63,11,28.05
7,0,-15,-7.5,"S",6.91,2,13
8,-15,-30,-22.5,"S",54.3,40.475,67.525
9,-30,-45,-37.5,"S",218.13,196,244.575
10,-45,-60,-52.5,"S",396.98,367.475,420
11,-60,-75,-67.5,"S",155.53,132.9,176.575
12,-75,-90,-82.5,"S",4.18,0.475,8.52499999999999
