"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",17.21,10,24.525
2,75,60,67.5,"N",110.15,87.375,127.525
3,60,45,52.5,"N",431.83,402.475,461
4,45,30,37.5,"N",463.12,435.375,493
5,30,15,22.5,"N",138.09,120.95,159.525
6,15,0,7.5,"N",24.32,16,33.525
7,0,-15,-7.5,"S",24.64,15,33
8,-15,-30,-22.5,"S",131.26,110.95,151.05
9,-30,-45,-37.5,"S",323.18,293.85,352.05
10,-45,-60,-52.5,"S",232.79,204.475,253
11,-60,-75,-67.5,"S",60.44,48,74.05
12,-75,-90,-82.5,"S",11.79,6,19
