"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",32.97,21.475,46
2,75,60,67.5,"N",169,151,189.1
3,60,45,52.5,"N",331.13,303.475,355.525
4,45,30,37.5,"N",321.32,286.95,351.625
5,30,15,22.5,"N",141.58,118.425,166
6,15,0,7.5,"N",28.07,17,42
7,0,-15,-7.5,"S",18.8,11.475,26
8,-15,-30,-22.5,"S",95.08,77.95,112.1
9,-30,-45,-37.5,"S",333.38,305.475,364.05
10,-45,-60,-52.5,"S",363.95,333.95,392
11,-60,-75,-67.5,"S",127.22,103.95,147.05
12,-75,-90,-82.5,"S",20.35,13.475,30
