"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",29.09,20.475,39.525
2,75,60,67.5,"N",162.09,137.9,182
3,60,45,52.5,"N",465.86,432.95,499
4,45,30,37.5,"N",549.1,517.95,581.525
5,30,15,22.5,"N",201.88,177.95,223.525
6,15,0,7.5,"N",35.99,25.475,48.525
7,0,-15,-7.5,"S",18.96,11,27
8,-15,-30,-22.5,"S",84.87,67.95,100.525
9,-30,-45,-37.5,"S",223.38,193.95,253.525
10,-45,-60,-52.5,"S",167.73,148.95,191.625
11,-60,-75,-67.5,"S",42.15,32,51.525
12,-75,-90,-82.5,"S",7.09,2,12
