"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",21.73,13,31
2,75,60,67.5,"N",133.1,112.425,153.05
3,60,45,52.5,"N",403.23,376.475,434
4,45,30,37.5,"N",430.78,403.475,459.575
5,30,15,22.5,"N",153.08,131.95,176.1
6,15,0,7.5,"N",27.36,19,39.575
7,0,-15,-7.5,"S",18.86,12,29
8,-15,-30,-22.5,"S",91.56,75,108.525
9,-30,-45,-37.5,"S",272.99,248,305.575
10,-45,-60,-52.5,"S",299.58,274.9,322.525
11,-60,-75,-67.5,"S",103.3,82.475,123.525
12,-75,-90,-82.5,"S",20.46,12,29
