"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",22.48,16,31
2,75,60,67.5,"N",143.32,121.425,164.625
3,60,45,52.5,"N",517.04,485.375,549.525
4,45,30,37.5,"N",500.11,468.425,534.575
5,30,15,22.5,"N",137.02,113.425,158
6,15,0,7.5,"N",24.39,16,32
7,0,-15,-7.5,"S",23.96,16,31
8,-15,-30,-22.5,"S",123.54,103.95,142
9,-30,-45,-37.5,"S",273.43,248.475,301.05
10,-45,-60,-52.5,"S",160.01,140.475,178.525
11,-60,-75,-67.5,"S",43.51,31.475,55.525
12,-75,-90,-82.5,"S",9.8,4,17.525
