"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",25.89,17.475,37.525
2,75,60,67.5,"N",160.01,137.95,185.625
3,60,45,52.5,"N",525.48,499.475,555.575
4,45,30,37.5,"N",486.94,459.425,518
5,30,15,22.5,"N",149.07,124.425,177.625
6,15,0,7.5,"N",26.84,17,35.525
7,0,-15,-7.5,"S",23.68,15.475,32.525
8,-15,-30,-22.5,"S",126.62,107.425,148.575
9,-30,-45,-37.5,"S",263.06,233.75,289.05
10,-45,-60,-52.5,"S",140.27,117.95,162.525
11,-60,-75,-67.5,"S",34.11,22.475,46.05
12,-75,-90,-82.5,"S",6.79,2,12
