"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",32.15,22,43.525
2,75,60,67.5,"N",191.84,173,212.525
3,60,45,52.5,"N",542.19,509.275,570.05
4,45,30,37.5,"N",564.34,532,604.525
5,30,15,22.5,"N",232.43,210,256.625
6,15,0,7.5,"N",43.15,31.475,56
7,0,-15,-7.5,"S",22.88,15.475,31.525
8,-15,-30,-22.5,"S",89.83,68.95,111.575
9,-30,-45,-37.5,"S",142.7,118.475,169.05
10,-45,-60,-52.5,"S",84.69,67,103
11,-60,-75,-67.5,"S",33.53,19.95,47.525
12,-75,-90,-82.5,"S",7.8,4,13.525
