"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",29.46,20.425,39.525
2,75,60,67.5,"N",141.47,118.95,165.05
3,60,45,52.5,"N",474.89,450.475,500.05
4,45,30,37.5,"N",491.27,451.9,518.525
5,30,15,22.5,"N",133.34,112,154.525
6,15,0,7.5,"N",20.13,13,29.525
7,0,-15,-7.5,"S",6.15,2,10
8,-15,-30,-22.5,"S",66.62,54.475,80
9,-30,-45,-37.5,"S",205.97,187.475,234.05
10,-45,-60,-52.5,"S",145.09,125,170.525
11,-60,-75,-67.5,"S",67.4,52,87.05
12,-75,-90,-82.5,"S",9.93,3.475,17
