"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",42.23,32,52.525
2,75,60,67.5,"N",236.85,209,261.525
3,60,45,52.5,"N",502.66,470.95,533.625
4,45,30,37.5,"N",417.56,387.225,449.525
5,30,15,22.5,"N",102.97,87.425,121.525
6,15,0,7.5,"N",18.53,11,27
7,0,-15,-7.5,"S",10.76,5,18
8,-15,-30,-22.5,"S",42.74,30.475,54
9,-30,-45,-37.5,"S",189.11,169.425,212.05
10,-45,-60,-52.5,"S",140.08,120.425,161.1
11,-60,-75,-67.5,"S",38.66,29,48
12,-75,-90,-82.5,"S",2.23,0,5.52499999999999
