"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",27.27,18.475,37
2,75,60,67.5,"N",167.74,144.475,194.05
3,60,45,52.5,"N",502.28,473.475,537.15
4,45,30,37.5,"N",529.26,501.8,560
5,30,15,22.5,"N",200.15,177.95,223.525
6,15,0,7.5,"N",36.94,25.475,49.525
7,0,-15,-7.5,"S",25.73,17,36
8,-15,-30,-22.5,"S",117.95,101,137.05
9,-30,-45,-37.5,"S",216.37,189.475,243.525
10,-45,-60,-52.5,"S",116.84,98.95,134.525
11,-60,-75,-67.5,"S",32,21.475,43
12,-75,-90,-82.5,"S",7.8,3,13
