"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",25.77,17,35
2,75,60,67.5,"N",143.22,124,161
3,60,45,52.5,"N",340.48,308.375,370.575
4,45,30,37.5,"N",339.43,310.425,368.575
5,30,15,22.5,"N",153.07,127.475,172.05
6,15,0,7.5,"N",28.59,16.95,38.525
7,0,-15,-7.5,"S",13.2,6,20.525
8,-15,-30,-22.5,"S",64.24,46.475,79.525
9,-30,-45,-37.5,"S",260.34,227.475,292
10,-45,-60,-52.5,"S",393.9,360.85,425.1
11,-60,-75,-67.5,"S",181.48,156.425,207.1
12,-75,-90,-82.5,"S",29.85,22,38
