"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",24.67,16.475,35
2,75,60,67.5,"N",128.48,112,148.525
3,60,45,52.5,"N",430.5,403.95,458.525
4,45,30,37.5,"N",470.22,441.475,497.575
5,30,15,22.5,"N",163.07,142.475,187
6,15,0,7.5,"N",21.76,12.475,31
7,0,-15,-7.5,"S",5.74,2,10.525
8,-15,-30,-22.5,"S",43.87,31.475,59
9,-30,-45,-37.5,"S",196.14,170.95,215.05
10,-45,-60,-52.5,"S",221.99,196.9,244.525
11,-60,-75,-67.5,"S",89.4,72.9,106.05
12,-75,-90,-82.5,"S",11.76,5,19.525
