"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",30.9,20.475,40.525
2,75,60,67.5,"N",170.25,146.95,194
3,60,45,52.5,"N",406.71,378.475,433
4,45,30,37.5,"N",451.91,426.425,480.05
5,30,15,22.5,"N",166.93,145.475,189.15
6,15,0,7.5,"N",30.9,21,41.525
7,0,-15,-7.5,"S",20.22,10.95,29.525
8,-15,-30,-22.5,"S",101.6,87,118
9,-30,-45,-37.5,"S",261.99,237.425,287.1
10,-45,-60,-52.5,"S",239.36,218.475,261
11,-60,-75,-67.5,"S",80.57,64.475,97.575
12,-75,-90,-82.5,"S",13.82,7.475,22
