"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",32.15,22.475,45.05
2,75,60,67.5,"N",166.96,141.425,186.575
3,60,45,52.5,"N",422.79,393.95,450.525
4,45,30,37.5,"N",392.27,363.9,424.1
5,30,15,22.5,"N",101.84,84,123.05
6,15,0,7.5,"N",18.45,12,27.05
7,0,-15,-7.5,"S",13.21,6.475,21.05
8,-15,-30,-22.5,"S",76.49,60,93.575
9,-30,-45,-37.5,"S",267.91,237.95,290.625
10,-45,-60,-52.5,"S",180.97,155.325,206.525
11,-60,-75,-67.5,"S",64,51.475,77.05
12,-75,-90,-82.5,"S",11.06,4.475,17.525
