"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"thanetian",5,30,15,22.5,"N",16.94,10.475,25,0.305665824612053,59.2,57.6,56,3.2,"Th","#FDBF6F","sampled"
"thanetian",5,30,15,22.5,"N",15.4793,10.2686,20.93765,0.296357263732942,59.2,57.6,56,3.2,"Th","#FDBF6F","rarefied"
"selandian",6,15,0,7.5,"N",521.71,495.95,548.1,0.262797070349886,61.6,60.4,59.2,2.4,"Sl","#FEBF65","simulated"
"selandian",4,45,30,37.5,"N",5.53,1.475,10,0.48636763412489,61.6,60.4,59.2,2.4,"Sl","#FEBF65","sampled"
"selandian",4,45,30,37.5,"N",5.52251,1.475,9.930725,0.486037610309875,61.6,60.4,59.2,2.4,"Sl","#FEBF65","rarefied"
"danian",6,15,0,7.5,"N",496.69,469.475,524.05,0.250589024716335,66,63.8,61.6,4.4,"Dn","#FDB462","simulated"
"danian",4,45,30,37.5,"N",36.71,26,46.525,0.526761371789353,66,63.8,61.6,4.4,"Dn","#FDB462","sampled"
"danian",4,45,30,37.5,"N",25.52788,20.935825,28.7429,0.459627971107831,66,63.8,61.6,4.4,"Dn","#FDB462","rarefied"
"maastrichtian",6,15,0,7.5,"N",485.13,454.475,515.575,0.24405004452091,72.1,69.05,66,6.1,"Mst","#F2FA8C","simulated"
"maastrichtian",5,30,15,22.5,"N",81.25,67.475,96.525,0.340385421030582,72.1,69.05,66,6.1,"Mst","#F2FA8C","sampled"
"maastrichtian",5,30,15,22.5,"N",34.45738,32.152675,36.8641,0.263290656016466,72.1,69.05,66,6.1,"Mst","#F2FA8C","rarefied"
"campanian",6,15,0,7.5,"N",514.19,482.95,548.525,0.25950187993641,83.6,77.85,72.1,11.5,"Cm","#E6F47F","simulated"
"campanian",5,30,15,22.5,"N",55.54,38.95,71.525,0.49775945509948,83.6,77.85,72.1,11.5,"Cm","#E6F47F","sampled"
"campanian",5,30,15,22.5,"N",30.59022,25.882425,34.194975,0.40531020118293,83.6,77.85,72.1,11.5,"Cm","#E6F47F","rarefied"
"santonian",6,15,0,7.5,"N",472.71,442.9,504.625,0.237729074047997,86.3,84.95,83.6,2.7,"Snt","#D9EF74","simulated"
"santonian",4,45,30,37.5,"N",34.65,26.475,47.05,0.461753731343284,86.3,84.95,83.6,2.7,"Snt","#D9EF74","sampled"
"santonian",4,45,30,37.5,"N",24.74456,20.730525,29.07875,0.403265095656768,86.3,84.95,83.6,2.7,"Snt","#D9EF74","rarefied"
"coniacian",6,15,0,7.5,"N",502.96,473.95,529.525,0.251990280317643,89.8,88.05,86.3,3.5,"Cnc","#CCE968","simulated"
"coniacian",4,45,30,37.5,"N",22.15,13.475,32,0.320225531299696,89.8,88.05,86.3,3.5,"Cnc","#CCE968","sampled"
"coniacian",4,45,30,37.5,"N",18.51902,12.91305,23.354475,0.293361133359017,89.8,88.05,86.3,3.5,"Cnc","#CCE968","rarefied"
"turonian",6,15,0,7.5,"N",502.35,470.375,533.575,0.252827225921396,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","simulated"
"turonian",4,45,30,37.5,"N",34.25,26,44,0.356214248569943,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","sampled"
"turonian",4,45,30,37.5,"N",24.67608,20.753875,28.107125,0.303542004869007,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","rarefied"
"cenomanian",6,15,0,7.5,"N",515.35,486.425,543.05,0.258851479976493,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","simulated"
"cenomanian",5,30,15,22.5,"N",41.09,31,54,0.341080766995933,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","sampled"
"cenomanian",5,30,15,22.5,"N",27.60303,23.615025,31.56595,0.297756392969406,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","rarefied"
"albian",6,15,0,7.5,"N",486.38,461.475,517.525,0.245784252788179,113,106.75,100.5,12.5,"Alb","#CCEA97","simulated"
"albian",4,45,30,37.5,"N",53.53,39.475,68.525,0.315643611061973,113,106.75,100.5,12.5,"Alb","#CCEA97","sampled"
"albian",5,30,15,22.5,"N",29.26164,24.706275,33.448875,0.265431081362403,113,106.75,100.5,12.5,"Alb","#CCEA97","rarefied"
"aptian",5,30,15,22.5,"N",494.01,462.9,520.625,0.248728689820456,125,119,113,12,"Ap","#BFE48A","simulated"
"aptian",5,30,15,22.5,"N",45.12,32.95,58.525,0.386235233692861,125,119,113,12,"Ap","#BFE48A","sampled"
"aptian",5,30,15,22.5,"N",28.90378,24.657875,32.807825,0.356185059411662,125,119,113,12,"Ap","#BFE48A","rarefied"
"barremian",5,30,15,22.5,"N",560.03,534.475,590.15,0.282388475133497,129.4,127.2,125,4.4,"Brrm","#B3DF7F","simulated"
"barremian",6,15,0,7.5,"N",44.24,31,57.525,0.435433070866142,129.4,127.2,125,4.4,"Brrm","#B3DF7F","sampled"
"barremian",6,15,0,7.5,"N",28.69066,24.0105,32.4524,0.388019205494518,129.4,127.2,125,4.4,"Brrm","#B3DF7F","rarefied"
"hauterivian",5,30,15,22.5,"N",558.17,527.475,587,0.280670789963293,132.9,131.15,129.4,3.5,"Htr","#A6D975","simulated"
"hauterivian",5,30,15,22.5,"N",54.16,38.95,69.525,0.503626557559978,132.9,131.15,129.4,3.5,"Htr","#A6D975","sampled"
"hauterivian",5,30,15,22.5,"N",31.36331,27.0792,34.7986,0.392854436362857,132.9,131.15,129.4,3.5,"Htr","#A6D975","rarefied"
"valanginian",5,30,15,22.5,"N",541.47,510.425,569.05,0.272544696786663,139.8,136.35,132.9,6.9,"Vl","#99D36A","simulated"
"valanginian",5,30,15,22.5,"N",37.46,26.475,50,0.459350091968118,139.8,136.35,132.9,6.9,"Vl","#99D36A","sampled"
"valanginian",5,30,15,22.5,"N",25.94067,21.6195,30.444225,0.379874688522516,139.8,136.35,132.9,6.9,"Vl","#99D36A","rarefied"
"berriasian",6,15,0,7.5,"N",527.94,499.425,562.05,0.265864283016493,145,142.4,139.8,5.2,"Brrs","#8CCD60","simulated"
"berriasian",5,30,15,22.5,"N",43.44,30.95,58,0.32936538024111,145,142.4,139.8,5.2,"Brrs","#8CCD60","sampled"
"berriasian",6,15,0,7.5,"N",28.63635,24.16885,32.100125,0.300119570552128,145,142.4,139.8,5.2,"Brrs","#8CCD60","rarefied"
"tithonian",6,15,0,7.5,"N",506.7,478.95,540.625,0.252971807148313,152.1,148.55,145,7.1,"Tt","#D9F1F7","simulated"
"tithonian",5,30,15,22.5,"N",50.29,37.475,65.05,0.331793890611599,152.1,148.55,145,7.1,"Tt","#D9F1F7","sampled"
"tithonian",5,30,15,22.5,"N",29.75312,26.387025,33.33535,0.286994041567427,152.1,148.55,145,7.1,"Tt","#D9F1F7","rarefied"
"kimmeridgian",6,15,0,7.5,"N",478.97,444.425,506.1,0.239588022849825,157.3,154.7,152.1,5.2,"Km","#CCECF4","simulated"
"kimmeridgian",5,30,15,22.5,"N",38.21,27,49.525,0.234402797374394,157.3,154.7,152.1,5.2,"Km","#CCECF4","sampled"
"kimmeridgian",5,30,15,22.5,"N",26.30905,22.1128,30.596425,0.215866117149545,157.3,154.7,152.1,5.2,"Km","#CCECF4","rarefied"
"oxfordian",6,15,0,7.5,"N",477.36,448.95,502.05,0.239091236927515,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","simulated"
"oxfordian",5,30,15,22.5,"N",30.45,20.475,40,0.210653753026634,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","sampled"
"oxfordian",5,30,15,22.5,"N",23.44185,18.024525,27.69005,0.203606097069711,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","rarefied"
"callovian",5,30,15,22.5,"N",504.17,477,529.05,0.252250223896652,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","simulated"
"callovian",4,45,30,37.5,"N",36.77,27,46,0.297299482535576,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","sampled"
"callovian",4,45,30,37.5,"N",24.68421,20.775425,28.09235,0.252650044487687,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","rarefied"
"bathonian",5,30,15,22.5,"N",524.4,499,550,0.262708340639137,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","simulated"
"bathonian",5,30,15,22.5,"N",46.72,36,57.575,0.355934785921073,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","sampled"
"bathonian",5,30,15,22.5,"N",29.43716,26.168075,32.364325,0.305430442192646,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","rarefied"
"bajocian",5,30,15,22.5,"N",488.59,454.95,518.1,0.245317975959752,170.3,169.3,168.3,2,"Bj","#A6DDE0","simulated"
"bajocian",5,30,15,22.5,"N",43.53,31.475,59.525,0.391069984727338,170.3,169.3,168.3,2,"Bj","#A6DDE0","sampled"
"bajocian",5,30,15,22.5,"N",28.44233,24.10475,32.419775,0.339513914155377,170.3,169.3,168.3,2,"Bj","#A6DDE0","rarefied"
"aalenian",5,30,15,22.5,"N",501.47,469.475,531,0.249326306369015,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","simulated"
"aalenian",5,30,15,22.5,"N",26.03,16.95,35.05,0.531116098755356,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","sampled"
"aalenian",5,30,15,22.5,"N",21.70935,15.99285,26.483825,0.509851992885814,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","rarefied"
"toarcian",5,30,15,22.5,"N",464.27,434.9,496.525,0.231168714772252,182.7,178.4,174.1,8.6,"Trc","#99CEE3","simulated"
"toarcian",5,30,15,22.5,"N",68.6,55.425,85.6749999999999,0.489370808959909,182.7,178.4,174.1,8.6,"Trc","#99CEE3","sampled"
"toarcian",5,30,15,22.5,"N",32.34844,29.36775,34.7998,0.426906798254441,182.7,178.4,174.1,8.6,"Trc","#99CEE3","rarefied"
"pliensbachian",5,30,15,22.5,"N",460.21,432.95,494.1,0.230820543685425,190.8,186.75,182.7,8.1,"Pl","#80C5DD","simulated"
"pliensbachian",4,45,30,37.5,"N",74.01,60,92.05,0.466028587620427,190.8,186.75,182.7,8.1,"Pl","#80C5DD","sampled"
"pliensbachian",5,30,15,22.5,"N",32.27051,28.74905,34.89775,0.392774308414122,190.8,186.75,182.7,8.1,"Pl","#80C5DD","rarefied"
"sinemurian",5,30,15,22.5,"N",413.65,376.425,448.05,0.210551766262852,199.3,195.05,190.8,8.5,"Snm","#67BCD8","simulated"
"sinemurian",5,30,15,22.5,"N",39.51,27,52.525,0.490868430860977,199.3,195.05,190.8,8.5,"Snm","#67BCD8","sampled"
"sinemurian",5,30,15,22.5,"N",27.45652,22.326525,31.43125,0.451319529029639,199.3,195.05,190.8,8.5,"Snm","#67BCD8","rarefied"
"hettangian",5,30,15,22.5,"N",404.68,376,433.1,0.206067765884857,201.3,200.3,199.3,2,"Htt","#4EB3D3","simulated"
"hettangian",4,45,30,37.5,"N",29.94,22.475,39.525,0.616556836902801,201.3,200.3,199.3,2,"Htt","#4EB3D3","sampled"
"hettangian",4,45,30,37.5,"N",22.0822,17.8237,25.844625,0.548319300604978,201.3,200.3,199.3,2,"Htt","#4EB3D3","rarefied"
"rhaetian",6,15,0,7.5,"N",475.34,448,503.05,0.239835716520177,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","simulated"
"rhaetian",5,30,15,22.5,"N",43.82,32,57,0.486618545252637,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","sampled"
"rhaetian",5,30,15,22.5,"N",27.93864,23.29975,31.761975,0.430613518501022,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","rarefied"
"norian",6,15,0,7.5,"N",506.48,478.425,541.575,0.255259099476862,228,218.25,208.5,19.5,"N","#D6AAD3","simulated"
"norian",5,30,15,22.5,"N",43.27,32.475,55.525,0.361426662211828,228,218.25,208.5,19.5,"N","#D6AAD3","sampled"
"norian",5,30,15,22.5,"N",28.27557,24.70045,31.66785,0.301884780028923,228,218.25,208.5,19.5,"N","#D6AAD3","rarefied"
"carnian",6,15,0,7.5,"N",492.13,462.425,522.525,0.246348300545627,237,232.5,228,9,"Cr","#C99BCB","simulated"
"carnian",6,15,0,7.5,"N",56.26,40.9,68,0.585614655980015,237,232.5,228,9,"Cr","#C99BCB","sampled"
"carnian",6,15,0,7.5,"N",30.72722,26.2594,33.10075,0.442251585190068,237,232.5,228,9,"Cr","#C99BCB","rarefied"
"ladinian",6,15,0,7.5,"N",484.82,454.325,514.525,0.243230904302019,242,239.5,237,5,"Ldn","#C983BF","simulated"
"ladinian",7,0,-15,-7.5,"S",29.61,18.475,45.575,0.31573896353167,242,239.5,237,5,"Ldn","#C983BF","sampled"
"ladinian",7,0,-15,-7.5,"S",22.96384,16.928775,29.5232,0.284623399989266,242,239.5,237,5,"Ldn","#C983BF","rarefied"
"anisian",6,15,0,7.5,"N",494.38,473,529.05,0.247785925149986,247.2,244.6,242,5.2,"An","#BC75B7","simulated"
"anisian",7,0,-15,-7.5,"S",41.08,32,55.525,0.312300440930515,247.2,244.6,242,5.2,"An","#BC75B7","sampled"
"anisian",7,0,-15,-7.5,"S",25.34746,22.159,29.6443,0.259067213470801,247.2,244.6,242,5.2,"An","#BC75B7","rarefied"
"olenekian",6,15,0,7.5,"N",490.54,465.475,519.625,0.244771889205467,251.2,249.2,247.2,4,"Ol","#B051A5","simulated"
"olenekian",7,0,-15,-7.5,"S",21.14,12,30,0.362607204116638,251.2,249.2,247.2,4,"Ol","#B051A5","sampled"
"olenekian",7,0,-15,-7.5,"S",18.39018,11.658425,23.8455,0.335344774453215,251.2,249.2,247.2,4,"Ol","#B051A5","rarefied"
"induan",7,0,-15,-7.5,"S",488.68,459.375,522.575,0.245010102630695,252.17,251.685,251.2,0.97,"I","#A4469F","simulated"
"induan",7,0,-15,-7.5,"S",46.02,32,59,0.519941249576319,252.17,251.685,251.2,0.97,"I","#A4469F","sampled"
"induan",7,0,-15,-7.5,"S",26.39611,22.4208,30.116925,0.395526446113193,252.17,251.685,251.2,0.97,"I","#A4469F","rarefied"
"changhsingian",7,0,-15,-7.5,"S",482.51,454.425,513.575,0.241751799948895,254.17,253.17,252.17,2,"Chn","#FCC0B2","simulated"
"changhsingian",7,0,-15,-7.5,"S",58.54,45,73.525,0.444258936024892,254.17,253.17,252.17,2,"Chn","#FCC0B2","sampled"
"changhsingian",7,0,-15,-7.5,"S",29.13417,25.803975,32.48565,0.324871600417623,254.17,253.17,252.17,2,"Chn","#FCC0B2","rarefied"
"wuchiapingian",7,0,-15,-7.5,"S",494.18,466.475,520,0.248775453698809,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","simulated"
"wuchiapingian",7,0,-15,-7.5,"S",48.87,36,61,0.331997282608696,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","sampled"
"wuchiapingian",7,0,-15,-7.5,"S",27.85202,24.618675,31.19825,0.270406622258472,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","rarefied"
"capitanian",7,0,-15,-7.5,"S",488.84,465.475,515.525,0.245716152705522,265.1,262.5,259.9,5.2,"Cp","#FB9A85","simulated"
"capitanian",7,0,-15,-7.5,"S",43.82,30,59.525,0.400804902588494,265.1,262.5,259.9,5.2,"Cp","#FB9A85","sampled"
"capitanian",7,0,-15,-7.5,"S",28.45024,24.058325,32.43315,0.323812012607278,265.1,262.5,259.9,5.2,"Cp","#FB9A85","rarefied"
"wordian",7,0,-15,-7.5,"S",468.3,438.475,495.525,0.236176393455851,268.8,266.95,265.1,3.7,"Wr","#FB8D76","simulated"
"wordian",7,0,-15,-7.5,"S",64.48,47.475,80.05,0.409474820600749,268.8,266.95,265.1,3.7,"Wr","#FB8D76","sampled"
"wordian",7,0,-15,-7.5,"S",31.83827,28.2223,34.5315,0.280903142086483,268.8,266.95,265.1,3.7,"Wr","#FB8D76","rarefied"
"roadian",7,0,-15,-7.5,"S",457.23,426.375,485.575,0.230154735178343,272.3,270.55,268.8,3.5,"Rd","#FB8069","simulated"
"roadian",7,0,-15,-7.5,"S",41.14,31.475,52,0.258514515520925,272.3,270.55,268.8,3.5,"Rd","#FB8069","sampled"
"roadian",7,0,-15,-7.5,"S",26.10335,22.274125,29.170825,0.217699245973248,272.3,270.55,268.8,3.5,"Rd","#FB8069","rarefied"
"kungurian",7,0,-15,-7.5,"S",426.81,403,452,0.213349529122428,279.3,275.8,272.3,7,"Kn","#E38776","simulated"
"kungurian",7,0,-15,-7.5,"S",68.35,54.475,84,0.445974161555527,279.3,275.8,272.3,7,"Kn","#E38776","sampled"
"kungurian",7,0,-15,-7.5,"S",29.44778,26.453725,31.966825,0.292258679843945,279.3,275.8,272.3,7,"Kn","#E38776","rarefied"
"artinskian",7,0,-15,-7.5,"S",398.81,374.425,426,0.200461431745298,290.1,284.7,279.3,10.8,"Art","#E37B68","simulated"
"artinskian",6,15,0,7.5,"N",39.88,28.475,50.525,0.294752402069475,290.1,284.7,279.3,10.8,"Art","#E37B68","sampled"
"artinskian",6,15,0,7.5,"N",25.7518,21.4216,28.84805,0.245191231508042,290.1,284.7,279.3,10.8,"Art","#E37B68","rarefied"
"sakmarian",7,0,-15,-7.5,"S",392.33,365,423,0.197379873119048,295.5,292.8,290.1,5.4,"Sk","#E36F5C","simulated"
"sakmarian",6,15,0,7.5,"N",37.6,27.475,48,0.279014544375186,295.5,292.8,290.1,5.4,"Sk","#E36F5C","sampled"
"sakmarian",6,15,0,7.5,"N",25.05993,21.4746,28.5096,0.233289021328411,295.5,292.8,290.1,5.4,"Sk","#E36F5C","rarefied"
"asselian",6,15,0,7.5,"N",386.37,353.95,417.05,0.193533360048087,298.9,297.2,295.5,3.4,"As","#E36350","simulated"
"asselian",5,30,15,22.5,"N",30.41,20.475,41.525,0.221211900778352,298.9,297.2,295.5,3.4,"As","#E36350","sampled"
"asselian",5,30,15,22.5,"N",22.84484,18.0122,27.283025,0.205033088237274,298.9,297.2,295.5,3.4,"As","#E36350","rarefied"
