"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"thanetian",4,45,30,37.5,"N",50.32,37.475,63.525,0.828722002635046,59.2,57.6,56,3.2,"Th","#FDBF6F","sampled"
"thanetian",4,45,30,37.5,"N",29.95893,26.461825,33.38565,0.743238237946446,59.2,57.6,56,3.2,"Th","#FDBF6F","rarefied"
"selandian",4,45,30,37.5,"N",452.96,427,479.625,0.229958116512248,61.6,60.4,59.2,2.4,"Sl","#FEBF65","simulated"
"selandian",4,45,30,37.5,"N",20.9,12,31,0.953902327704245,61.6,60.4,59.2,2.4,"Sl","#FEBF65","sampled"
"selandian",4,45,30,37.5,"N",18.47183,11.726975,24.2449,0.948156820996795,61.6,60.4,59.2,2.4,"Sl","#FEBF65","rarefied"
"danian",4,45,30,37.5,"N",450.71,423.475,482.1,0.229399309832344,66,63.8,61.6,4.4,"Dn","#FDB462","simulated"
"danian",4,45,30,37.5,"N",72.66,59,93.1499999999999,0.816221073915974,66,63.8,61.6,4.4,"Dn","#FDB462","sampled"
"danian",4,45,30,37.5,"N",34.41861,32.317525,37.07815,0.679368528886665,66,63.8,61.6,4.4,"Dn","#FDB462","rarefied"
"maastrichtian",4,45,30,37.5,"N",490.06,460,518.05,0.249520114459702,72.1,69.05,66,6.1,"Mst","#F2FA8C","simulated"
"maastrichtian",4,45,30,37.5,"N",140.28,118.475,160.525,0.689201139825096,72.1,69.05,66,6.1,"Mst","#F2FA8C","sampled"
"maastrichtian",4,45,30,37.5,"N",39.73939,37.985975,41.0895,0.435359656527291,72.1,69.05,66,6.1,"Mst","#F2FA8C","rarefied"
"campanian",4,45,30,37.5,"N",522.91,493.475,555.625,0.266769039262101,83.6,77.85,72.1,11.5,"Cm","#E6F47F","simulated"
"campanian",4,45,30,37.5,"N",91.54,72.475,110,0.614692452323395,83.6,77.85,72.1,11.5,"Cm","#E6F47F","sampled"
"campanian",4,45,30,37.5,"N",36.6564,34.434675,38.775775,0.470669142566151,83.6,77.85,72.1,11.5,"Cm","#E6F47F","rarefied"
"santonian",4,45,30,37.5,"N",505.1,476.95,537.15,0.256905838491626,86.3,84.95,83.6,2.7,"Snt","#D9EF74","simulated"
"santonian",4,45,30,37.5,"N",71.21,55,86.525,0.651807780320366,86.3,84.95,83.6,2.7,"Snt","#D9EF74","sampled"
"santonian",4,45,30,37.5,"N",33.93848,30.80285,36.459675,0.524073565064315,86.3,84.95,83.6,2.7,"Snt","#D9EF74","rarefied"
"coniacian",4,45,30,37.5,"N",497.74,468.95,527.525,0.252593224123582,89.8,88.05,86.3,3.5,"Cnc","#CCE968","simulated"
"coniacian",4,45,30,37.5,"N",50.58,39.475,63.525,0.514547304170905,89.8,88.05,86.3,3.5,"Cnc","#CCE968","sampled"
"coniacian",4,45,30,37.5,"N",29.25161,25.9216,32.249975,0.467138421226113,89.8,88.05,86.3,3.5,"Cnc","#CCE968","rarefied"
"turonian",3,60,45,52.5,"N",498.77,467.95,529.15,0.25397172943357,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","simulated"
"turonian",4,45,30,37.5,"N",87.12,69.95,104.05,0.534675340616178,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","sampled"
"turonian",4,45,30,37.5,"N",36.29078,34.186975,38.007875,0.470803909261989,93.9,91.85,89.8,4.1,"Trnn","#BFE35D","rarefied"
"cenomanian",3,60,45,52.5,"N",476.64,449.475,504,0.241496891609118,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","simulated"
"cenomanian",4,45,30,37.5,"N",89.69,69.9,109.05,0.48001070377308,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","sampled"
"cenomanian",4,45,30,37.5,"N",36.41079,33.590825,38.42975,0.440416699426056,100.5,97.2,93.9,6.6,"Cnm","#B3DE53","rarefied"
"albian",4,45,30,37.5,"N",425.39,387.95,456.525,0.215184686826584,113,106.75,100.5,12.5,"Alb","#CCEA97","simulated"
"albian",4,45,30,37.5,"N",105.93,89.425,123.525,0.523111111111111,113,106.75,100.5,12.5,"Alb","#CCEA97","sampled"
"albian",4,45,30,37.5,"N",36.2052,34.388125,37.859175,0.371408637826722,113,106.75,100.5,12.5,"Alb","#CCEA97","rarefied"
"aptian",10,-45,-60,-52.5,"S",403.77,370.95,432.1,0.206100791694103,125,119,113,12,"Ap","#BFE48A","simulated"
"aptian",4,45,30,37.5,"N",92.05,76.425,111,0.739773366551475,125,119,113,12,"Ap","#BFE48A","sampled"
"aptian",4,45,30,37.5,"N",35.57327,33.4187,37.52565,0.526116697249226,125,119,113,12,"Ap","#BFE48A","rarefied"
"barremian",10,-45,-60,-52.5,"S",400.09,373,426.525,0.203690033143096,129.4,127.2,125,4.4,"Brrm","#B3DF7F","simulated"
"barremian",4,45,30,37.5,"N",32.79,23,41,0.613929975659989,129.4,127.2,125,4.4,"Brrm","#B3DF7F","sampled"
"barremian",4,45,30,37.5,"N",23.89826,19.119375,27.591625,0.543026015793891,129.4,127.2,125,4.4,"Brrm","#B3DF7F","rarefied"
"hauterivian",10,-45,-60,-52.5,"S",393.9,360.85,425.1,0.199587549466196,132.9,131.15,129.4,3.5,"Htr","#A6D975","simulated"
"hauterivian",4,45,30,37.5,"N",35.14,26.475,45.525,0.748296422487223,132.9,131.15,129.4,3.5,"Htr","#A6D975","sampled"
"hauterivian",4,45,30,37.5,"N",25.17397,21.462625,28.853875,0.682180182606851,132.9,131.15,129.4,3.5,"Htr","#A6D975","rarefied"
"valanginian",10,-45,-60,-52.5,"S",426.26,396.95,449.05,0.216871025184431,139.8,136.35,132.9,6.9,"Vl","#99D36A","simulated"
"valanginian",4,45,30,37.5,"N",18.45,11,27,0.359929769801014,139.8,136.35,132.9,6.9,"Vl","#99D36A","sampled"
"valanginian",4,45,30,37.5,"N",16.8583,10.773275,22.620025,0.34965889264348,139.8,136.35,132.9,6.9,"Vl","#99D36A","rarefied"
"berriasian",10,-45,-60,-52.5,"S",363.95,333.95,392,0.183548932092695,145,142.4,139.8,5.2,"Brrs","#8CCD60","simulated"
"berriasian",4,45,30,37.5,"N",64.89,49,79.05,0.61141995665693,145,142.4,139.8,5.2,"Brrs","#8CCD60","sampled"
"berriasian",4,45,30,37.5,"N",32.12564,28.962275,34.77975,0.478191835280819,145,142.4,139.8,5.2,"Brrs","#8CCD60","rarefied"
"tithonian",4,45,30,37.5,"N",389.07,362.475,423.575,0.197207156977039,152.1,148.55,145,7.1,"Tt","#D9F1F7","simulated"
