"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",5.42178,2,10.3958
3,60,45,52.5,"N",3.83829,1,7.97675
4,45,30,37.5,"N",19.04178,13.926925,23.89675
5,30,15,22.5,"N",14.73309,9.36875,20.297375
6,15,0,7.5,"N",5.89992,2,10.391975
7,0,-15,-7.5,"S",7.78591,3,13.9128
8,-15,-30,-22.5,"S",9.93584,4,14.5809
9,-30,-45,-37.5,"S",3.21962,0,6.994675
10,-45,-60,-52.5,"S",0.25,0,2
11,-60,-75,-67.5,"S",2.52994,0,5.999
12,-75,-90,-82.5,"S",0.09,0,1
