"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.50998,0,4.999
2,75,60,67.5,"N",3.17976,0,6.996
3,60,45,52.5,"N",12.4587,5.99275,19.2097
4,45,30,37.5,"N",8.68322,3,14.4292
5,30,15,22.5,"N",8.86395,4.997,13.91595
6,15,0,7.5,"N",14.84392,7.912625,20.85565
7,0,-15,-7.5,"S",2.41997,0,6
8,-15,-30,-22.5,"S",5.06645,2,8.97905
9,-30,-45,-37.5,"S",3.65975,1,6.998525
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",1.66,0,4.52499999999999
