"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",5.60024,2,10.314275
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",17.46711,12.13405,22.35295
4,45,30,37.5,"N",4.65389,1,9.769125
5,30,15,22.5,"N",4.07928,1,6.997525
6,15,0,7.5,"N",NA,NA,NA
7,0,-15,-7.5,"S",17.921,13.657375,21.923775
8,-15,-30,-22.5,"S",6.49894,2.475,10.620425
9,-30,-45,-37.5,"S",4.97808,1.475,9.85395
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",1.83996,0,5.52499999999999
