"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.92,0,5
2,75,60,67.5,"N",20.3288,13.17,25.771
3,60,45,52.5,"N",10.2338,4.475,15.55925
4,45,30,37.5,"N",23.878,18.179,28.907
5,30,15,22.5,"N",29.8922,26.30175,32.241
6,15,0,7.5,"N",25.9671,20.983,30.52125
7,0,-15,-7.5,"S",16.2068,10.3265,21.19075
8,-15,-30,-22.5,"S",6.7553,1.475,12.2395
9,-30,-45,-37.5,"S",7.9565,3,13.1805
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",4.6762,0.475,9.46924999999999
