"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.65,0,2.52499999999999
2,75,60,67.5,"N",5.82664,2,9.9489
3,60,45,52.5,"N",22.30913,17.219625,26.2831
4,45,30,37.5,"N",26.05319,21.09325,29.889225
5,30,15,22.5,"N",13.75791,6.98755,19.3983
6,15,0,7.5,"N",5.9732,2,10.8125
7,0,-15,-7.5,"S",1.86999,0,5
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",NA,NA,NA
10,-45,-60,-52.5,"S",1.62999,0,4.52499999999999
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.07,0,1
